Maximum data : 1.201885e+00
Minimum data : -8.848275e-01
Median : -2.350000e-01
Average : -3.591302e-04
Variance : 2.192699e-01
Normalized entropy : 8.856670e-01
Data	Probability	The number of points
-9.850000e-01	0.000000e+00	0
-9.550000e-01	0.000000e+00	0
-9.250000e-01	0.000000e+00	0
-8.950000e-01	1.750000e-05	7
-8.650000e-01	4.187500e-03	1675
-8.350000e-01	2.150250e-02	8601
-8.050000e-01	2.397250e-02	9589
-7.750000e-01	1.606000e-02	6424
-7.450000e-01	1.240750e-02	4963
-7.150000e-01	1.242250e-02	4969
-6.850000e-01	1.106000e-02	4424
-6.550000e-01	9.262500e-03	3705
-6.250000e-01	9.117500e-03	3647
-5.950000e-01	8.400000e-03	3360
-5.650000e-01	8.510000e-03	3404
-5.350000e-01	8.985000e-03	3594
-5.050000e-01	9.685000e-03	3874
-4.750000e-01	1.129500e-02	4518
-4.450000e-01	1.322750e-02	5291
-4.150000e-01	1.505500e-02	6022
-3.850000e-01	1.750000e-02	7000
-3.550000e-01	1.900250e-02	7601
-3.250000e-01	2.200250e-02	8801
-2.950000e-01	2.531000e-02	10124
-2.650000e-01	2.632000e-02	10528
-2.350000e-01	2.705250e-02	10821
-2.050000e-01	2.683000e-02	10732
-1.750000e-01	2.658500e-02	10634
-1.450000e-01	2.663000e-02	10652
-1.150000e-01	2.660750e-02	10643
-8.500000e-02	2.698500e-02	10794
-5.500000e-02	2.558000e-02	10232
-2.500000e-02	2.450000e-02	9800
5.000000e-03	2.341000e-02	9364
3.500000e-02	2.235000e-02	8940
6.500000e-02	2.212500e-02	8850
9.500000e-02	2.183250e-02	8733
1.250000e-01	2.130000e-02	8520
1.550000e-01	1.977250e-02	7909
1.850000e-01	2.000000e-02	8000
2.150000e-01	2.099000e-02	8396
2.450000e-01	2.196000e-02	8784
2.750000e-01	2.195250e-02	8781
3.050000e-01	2.029250e-02	8117
3.350000e-01	1.840250e-02	7361
3.650000e-01	1.708250e-02	6833
3.950000e-01	1.567500e-02	6270
4.250000e-01	1.544250e-02	6177
4.550000e-01	1.340750e-02	5363
4.850000e-01	1.214750e-02	4859
5.150000e-01	1.225000e-02	4900
5.450000e-01	1.177000e-02	4708
5.750000e-01	1.123750e-02	4495
6.050000e-01	9.775000e-03	3910
6.350000e-01	9.022500e-03	3609
6.650000e-01	8.797500e-03	3519
6.950000e-01	8.582500e-03	3433
7.250000e-01	8.690000e-03	3476
7.550000e-01	8.325000e-03	3330
7.850000e-01	8.475000e-03	3390
8.150000e-01	7.697500e-03	3079
8.450000e-01	7.105000e-03	2842
8.750000e-01	6.965000e-03	2786
9.050000e-01	6.742500e-03	2697
9.350000e-01	5.767500e-03	2307
9.650000e-01	5.447500e-03	2179
9.950000e-01	4.842500e-03	1937
1.025000e+00	4.097500e-03	1639
1.055000e+00	3.545000e-03	1418
1.085000e+00	2.492500e-03	997
1.115000e+00	2.042500e-03	817
1.145000e+00	1.580000e-03	632
1.175000e+00	5.150000e-04	206
1.205000e+00	2.000000e-05	8
1.235000e+00	0.000000e+00	0
1.265000e+00	0.000000e+00	0
1.295000e+00	0.000000e+00	0
1.325000e+00	0.000000e+00	0
1.355000e+00	0.000000e+00	0
1.385000e+00	0.000000e+00	0
1.415000e+00	0.000000e+00	0
1.445000e+00	0.000000e+00	0
1.475000e+00	0.000000e+00	0
1.505000e+00	0.000000e+00	0
1.535000e+00	0.000000e+00	0
1.565000e+00	0.000000e+00	0
1.595000e+00	0.000000e+00	0
1.625000e+00	0.000000e+00	0
1.655000e+00	0.000000e+00	0
1.685000e+00	0.000000e+00	0
1.715000e+00	0.000000e+00	0
1.745000e+00	0.000000e+00	0
1.775000e+00	0.000000e+00	0
1.805000e+00	0.000000e+00	0
1.835000e+00	0.000000e+00	0
1.865000e+00	0.000000e+00	0
1.895000e+00	0.000000e+00	0
1.925000e+00	0.000000e+00	0
1.955000e+00	0.000000e+00	0
1.985000e+00	0.000000e+00	0
