Maximum data : 1.441198e+00
Minimum data : -5.947156e-01
Median : -3.050000e-01
Average : -1.503315e-03
Variance : 1.631898e-01
Normalized entropy : 8.887145e-01
Data	Probability	The number of points
-6.950000e-01	0.000000e+00	0
-6.850000e-01	0.000000e+00	0
-6.750000e-01	0.000000e+00	0
-6.650000e-01	0.000000e+00	0
-6.550000e-01	0.000000e+00	0
-6.450000e-01	0.000000e+00	0
-6.350000e-01	0.000000e+00	0
-6.250000e-01	0.000000e+00	0
-6.150000e-01	0.000000e+00	0
-6.050000e-01	0.000000e+00	0
-5.950000e-01	2.750000e-05	11
-5.850000e-01	7.000000e-05	28
-5.750000e-01	1.050000e-04	42
-5.650000e-01	2.400000e-04	96
-5.550000e-01	4.325000e-04	173
-5.450000e-01	7.300000e-04	292
-5.350000e-01	1.255000e-03	502
-5.250000e-01	1.887500e-03	755
-5.150000e-01	2.505000e-03	1002
-5.050000e-01	3.747500e-03	1499
-4.950000e-01	4.507500e-03	1803
-4.850000e-01	5.680000e-03	2272
-4.750000e-01	6.795000e-03	2718
-4.650000e-01	7.842500e-03	3137
-4.550000e-01	8.892500e-03	3557
-4.450000e-01	9.502500e-03	3801
-4.350000e-01	1.094750e-02	4379
-4.250000e-01	1.246750e-02	4987
-4.150000e-01	1.394000e-02	5576
-4.050000e-01	1.456750e-02	5827
-3.950000e-01	1.308000e-02	5232
-3.850000e-01	1.355250e-02	5421
-3.750000e-01	1.436500e-02	5746
-3.650000e-01	1.436000e-02	5744
-3.550000e-01	1.579000e-02	6316
-3.450000e-01	1.787000e-02	7148
-3.350000e-01	1.891000e-02	7564
-3.250000e-01	2.048750e-02	8195
-3.150000e-01	2.327500e-02	9310
-3.050000e-01	2.386750e-02	9547
-2.950000e-01	2.265500e-02	9062
-2.850000e-01	2.256000e-02	9024
-2.750000e-01	1.999000e-02	7996
-2.650000e-01	1.803000e-02	7212
-2.550000e-01	1.686500e-02	6746
-2.450000e-01	1.667000e-02	6668
-2.350000e-01	1.715250e-02	6861
-2.250000e-01	1.738250e-02	6953
-2.150000e-01	1.613000e-02	6452
-2.050000e-01	1.469250e-02	5877
-1.950000e-01	1.412750e-02	5651
-1.850000e-01	1.344000e-02	5376
-1.750000e-01	1.272500e-02	5090
-1.650000e-01	1.155250e-02	4621
-1.550000e-01	1.036750e-02	4147
-1.450000e-01	9.507500e-03	3803
-1.350000e-01	8.857500e-03	3543
-1.250000e-01	8.130000e-03	3252
-1.150000e-01	7.725000e-03	3090
-1.050000e-01	7.482500e-03	2993
-9.500000e-02	6.637500e-03	2655
-8.500000e-02	6.310000e-03	2524
-7.500000e-02	6.355000e-03	2542
-6.500000e-02	6.105000e-03	2442
-5.500000e-02	6.422500e-03	2569
-4.500000e-02	5.907500e-03	2363
-3.500000e-02	5.115000e-03	2046
-2.500000e-02	5.067500e-03	2027
-1.500000e-02	4.750000e-03	1900
-5.000000e-03	4.617500e-03	1847
5.000000e-03	4.707500e-03	1883
1.500000e-02	4.572500e-03	1829
2.500000e-02	4.732500e-03	1893
3.500000e-02	4.572500e-03	1829
4.500000e-02	4.180000e-03	1672
5.500000e-02	4.042500e-03	1617
6.500000e-02	3.860000e-03	1544
7.500000e-02	3.757500e-03	1503
8.500000e-02	3.585000e-03	1434
9.500000e-02	4.005000e-03	1602
1.050000e-01	3.812500e-03	1525
1.150000e-01	3.357500e-03	1343
1.250000e-01	2.957500e-03	1183
1.350000e-01	2.810000e-03	1124
1.450000e-01	2.730000e-03	1092
1.550000e-01	2.710000e-03	1084
1.650000e-01	2.822500e-03	1129
1.750000e-01	2.640000e-03	1056
1.850000e-01	2.962500e-03	1185
1.950000e-01	3.005000e-03	1202
2.050000e-01	3.075000e-03	1230
2.150000e-01	2.987500e-03	1195
2.250000e-01	2.885000e-03	1154
2.350000e-01	3.210000e-03	1284
2.450000e-01	2.987500e-03	1195
2.550000e-01	2.157500e-03	863
2.650000e-01	2.070000e-03	828
2.750000e-01	2.242500e-03	897
2.850000e-01	2.502500e-03	1001
2.950000e-01	2.550000e-03	1020
3.050000e-01	3.195000e-03	1278
3.150000e-01	3.485000e-03	1394
3.250000e-01	4.062500e-03	1625
3.350000e-01	4.667500e-03	1867
3.450000e-01	5.170000e-03	2068
3.550000e-01	5.697500e-03	2279
3.650000e-01	5.880000e-03	2352
3.750000e-01	6.452500e-03	2581
3.850000e-01	6.687500e-03	2675
3.950000e-01	6.550000e-03	2620
4.050000e-01	7.002500e-03	2801
4.150000e-01	7.335000e-03	2934
4.250000e-01	7.640000e-03	3056
4.350000e-01	7.257500e-03	2903
4.450000e-01	7.320000e-03	2928
4.550000e-01	7.225000e-03	2890
4.650000e-01	7.405000e-03	2962
4.750000e-01	7.277500e-03	2911
4.850000e-01	7.492500e-03	2997
4.950000e-01	7.227500e-03	2891
5.050000e-01	7.072500e-03	2829
5.150000e-01	6.975000e-03	2790
5.250000e-01	6.727500e-03	2691
5.350000e-01	6.405000e-03	2562
5.450000e-01	5.935000e-03	2374
5.550000e-01	5.500000e-03	2200
5.650000e-01	5.097500e-03	2039
5.750000e-01	4.760000e-03	1904
5.850000e-01	4.575000e-03	1830
5.950000e-01	4.442500e-03	1777
6.050000e-01	4.210000e-03	1684
6.150000e-01	4.055000e-03	1622
6.250000e-01	4.042500e-03	1617
6.350000e-01	3.607500e-03	1443
6.450000e-01	3.457500e-03	1383
6.550000e-01	3.322500e-03	1329
6.650000e-01	3.275000e-03	1310
6.750000e-01	3.085000e-03	1234
6.850000e-01	2.900000e-03	1160
6.950000e-01	2.707500e-03	1083
7.050000e-01	2.700000e-03	1080
7.150000e-01	2.487500e-03	995
7.250000e-01	2.280000e-03	912
7.350000e-01	2.110000e-03	844
7.450000e-01	1.952500e-03	781
7.550000e-01	1.985000e-03	794
7.650000e-01	1.745000e-03	698
7.750000e-01	1.805000e-03	722
7.850000e-01	1.627500e-03	651
7.950000e-01	1.587500e-03	635
8.050000e-01	1.465000e-03	586
8.150000e-01	1.495000e-03	598
8.250000e-01	1.402500e-03	561
8.350000e-01	1.375000e-03	550
8.450000e-01	1.220000e-03	488
8.550000e-01	1.167500e-03	467
8.650000e-01	1.130000e-03	452
8.750000e-01	1.152500e-03	461
8.850000e-01	1.092500e-03	437
8.950000e-01	1.197500e-03	479
9.050000e-01	1.087500e-03	435
9.150000e-01	1.007500e-03	403
9.250000e-01	1.107500e-03	443
9.350000e-01	8.800000e-04	352
9.450000e-01	9.950000e-04	398
9.550000e-01	9.475000e-04	379
9.650000e-01	9.250000e-04	370
9.750000e-01	9.100000e-04	364
9.850000e-01	8.125000e-04	325
9.950000e-01	8.850000e-04	354
1.005000e+00	7.900000e-04	316
1.015000e+00	8.950000e-04	358
1.025000e+00	8.325000e-04	333
1.035000e+00	8.575000e-04	343
1.045000e+00	7.775000e-04	311
1.055000e+00	7.725000e-04	309
1.065000e+00	7.600000e-04	304
1.075000e+00	6.375000e-04	255
1.085000e+00	7.400000e-04	296
1.095000e+00	6.550000e-04	262
1.105000e+00	5.975000e-04	239
1.115000e+00	5.725000e-04	229
1.125000e+00	5.775000e-04	231
1.135000e+00	5.375000e-04	215
1.145000e+00	5.525000e-04	221
1.155000e+00	5.275000e-04	211
1.165000e+00	5.650000e-04	226
1.175000e+00	4.900000e-04	196
1.185000e+00	5.375000e-04	215
1.195000e+00	3.700000e-04	148
1.205000e+00	4.100000e-04	164
1.215000e+00	3.775000e-04	151
1.225000e+00	2.875000e-04	115
1.235000e+00	3.400000e-04	136
1.245000e+00	3.250000e-04	130
1.255000e+00	2.450000e-04	98
1.265000e+00	2.675000e-04	107
1.275000e+00	2.100000e-04	84
1.285000e+00	1.900000e-04	76
1.295000e+00	1.800000e-04	72
1.305000e+00	1.500000e-04	60
1.315000e+00	1.325000e-04	53
1.325000e+00	1.450000e-04	58
1.335000e+00	1.050000e-04	42
1.345000e+00	6.750000e-05	27
1.355000e+00	6.250000e-05	25
1.365000e+00	6.000000e-05	24
1.375000e+00	4.250000e-05	17
1.385000e+00	6.000000e-05	24
1.395000e+00	2.500000e-05	10
1.405000e+00	1.250000e-05	5
1.415000e+00	0.000000e+00	0
1.425000e+00	1.000000e-05	4
1.435000e+00	7.500000e-06	3
1.445000e+00	5.000000e-06	2
1.455000e+00	0.000000e+00	0
1.465000e+00	0.000000e+00	0
1.475000e+00	0.000000e+00	0
1.485000e+00	0.000000e+00	0
1.495000e+00	0.000000e+00	0
