Maximum data : 1.441198e+00
Minimum data : -5.650526e-01
Median : -2.850000e-01
Average : 3.138795e-03
Variance : 1.515842e-01
Normalized entropy : 8.810119e-01
Data	Probability	The number of points
-6.950000e-01	0.000000e+00	0
-6.850000e-01	0.000000e+00	0
-6.750000e-01	0.000000e+00	0
-6.650000e-01	0.000000e+00	0
-6.550000e-01	0.000000e+00	0
-6.450000e-01	0.000000e+00	0
-6.350000e-01	0.000000e+00	0
-6.250000e-01	0.000000e+00	0
-6.150000e-01	0.000000e+00	0
-6.050000e-01	0.000000e+00	0
-5.950000e-01	0.000000e+00	0
-5.850000e-01	0.000000e+00	0
-5.750000e-01	0.000000e+00	0
-5.650000e-01	2.500000e-05	5
-5.550000e-01	4.000000e-05	8
-5.450000e-01	1.700000e-04	34
-5.350000e-01	3.400000e-04	68
-5.250000e-01	5.700000e-04	114
-5.150000e-01	7.650000e-04	153
-5.050000e-01	1.295000e-03	259
-4.950000e-01	2.105000e-03	421
-4.850000e-01	3.130000e-03	626
-4.750000e-01	4.290000e-03	858
-4.650000e-01	5.665000e-03	1133
-4.550000e-01	7.145000e-03	1429
-4.450000e-01	8.425000e-03	1685
-4.350000e-01	1.001500e-02	2003
-4.250000e-01	1.230000e-02	2460
-4.150000e-01	1.393500e-02	2787
-4.050000e-01	1.405500e-02	2811
-3.950000e-01	1.270500e-02	2541
-3.850000e-01	1.362000e-02	2724
-3.750000e-01	1.357500e-02	2715
-3.650000e-01	1.330500e-02	2661
-3.550000e-01	1.312500e-02	2625
-3.450000e-01	1.458500e-02	2917
-3.350000e-01	1.460500e-02	2921
-3.250000e-01	1.714000e-02	3428
-3.150000e-01	2.239000e-02	4478
-3.050000e-01	2.332000e-02	4664
-2.950000e-01	2.355500e-02	4711
-2.850000e-01	2.439500e-02	4879
-2.750000e-01	2.184000e-02	4368
-2.650000e-01	1.980000e-02	3960
-2.550000e-01	1.903000e-02	3806
-2.450000e-01	1.995000e-02	3990
-2.350000e-01	2.114000e-02	4228
-2.250000e-01	2.091000e-02	4182
-2.150000e-01	1.815500e-02	3631
-2.050000e-01	1.583000e-02	3166
-1.950000e-01	1.444500e-02	2889
-1.850000e-01	1.447500e-02	2895
-1.750000e-01	1.446000e-02	2892
-1.650000e-01	1.313500e-02	2627
-1.550000e-01	1.108500e-02	2217
-1.450000e-01	9.900000e-03	1980
-1.350000e-01	9.410000e-03	1882
-1.250000e-01	8.745000e-03	1749
-1.150000e-01	8.245000e-03	1649
-1.050000e-01	8.440000e-03	1688
-9.500000e-02	7.565000e-03	1513
-8.500000e-02	7.260000e-03	1452
-7.500000e-02	7.205000e-03	1441
-6.500000e-02	6.780000e-03	1356
-5.500000e-02	7.070000e-03	1414
-4.500000e-02	6.500000e-03	1300
-3.500000e-02	5.245000e-03	1049
-2.500000e-02	5.385000e-03	1077
-1.500000e-02	4.780000e-03	956
-5.000000e-03	4.925000e-03	985
5.000000e-03	5.130000e-03	1026
1.500000e-02	5.240000e-03	1048
2.500000e-02	5.330000e-03	1066
3.500000e-02	5.045000e-03	1009
4.500000e-02	4.685000e-03	937
5.500000e-02	4.325000e-03	865
6.500000e-02	4.240000e-03	848
7.500000e-02	3.965000e-03	793
8.500000e-02	3.800000e-03	760
9.500000e-02	4.310000e-03	862
1.050000e-01	4.420000e-03	884
1.150000e-01	3.765000e-03	753
1.250000e-01	3.130000e-03	626
1.350000e-01	2.705000e-03	541
1.450000e-01	2.685000e-03	537
1.550000e-01	2.585000e-03	517
1.650000e-01	2.795000e-03	559
1.750000e-01	2.710000e-03	542
1.850000e-01	3.205000e-03	641
1.950000e-01	3.325000e-03	665
2.050000e-01	3.215000e-03	643
2.150000e-01	3.330000e-03	666
2.250000e-01	3.695000e-03	739
2.350000e-01	4.255000e-03	851
2.450000e-01	3.825000e-03	765
2.550000e-01	2.305000e-03	461
2.650000e-01	1.940000e-03	388
2.750000e-01	2.250000e-03	450
2.850000e-01	2.190000e-03	438
2.950000e-01	2.410000e-03	482
3.050000e-01	2.950000e-03	590
3.150000e-01	3.000000e-03	600
3.250000e-01	3.390000e-03	678
3.350000e-01	4.170000e-03	834
3.450000e-01	4.565000e-03	913
3.550000e-01	5.210000e-03	1042
3.650000e-01	5.505000e-03	1101
3.750000e-01	6.365000e-03	1273
3.850000e-01	6.600000e-03	1320
3.950000e-01	6.775000e-03	1355
4.050000e-01	7.225000e-03	1445
4.150000e-01	7.240000e-03	1448
4.250000e-01	7.565000e-03	1513
4.350000e-01	7.360000e-03	1472
4.450000e-01	7.160000e-03	1432
4.550000e-01	7.255000e-03	1451
4.650000e-01	7.360000e-03	1472
4.750000e-01	7.125000e-03	1425
4.850000e-01	7.765000e-03	1553
4.950000e-01	7.570000e-03	1514
5.050000e-01	7.640000e-03	1528
5.150000e-01	7.680000e-03	1536
5.250000e-01	7.540000e-03	1508
5.350000e-01	7.095000e-03	1419
5.450000e-01	6.240000e-03	1248
5.550000e-01	5.950000e-03	1190
5.650000e-01	5.555000e-03	1111
5.750000e-01	5.055000e-03	1011
5.850000e-01	4.810000e-03	962
5.950000e-01	4.625000e-03	925
6.050000e-01	4.410000e-03	882
6.150000e-01	4.110000e-03	822
6.250000e-01	4.165000e-03	833
6.350000e-01	3.650000e-03	730
6.450000e-01	3.555000e-03	711
6.550000e-01	3.515000e-03	703
6.650000e-01	3.540000e-03	708
6.750000e-01	3.015000e-03	603
6.850000e-01	2.985000e-03	597
6.950000e-01	2.785000e-03	557
7.050000e-01	2.685000e-03	537
7.150000e-01	2.480000e-03	496
7.250000e-01	2.230000e-03	446
7.350000e-01	2.070000e-03	414
7.450000e-01	1.830000e-03	366
7.550000e-01	1.870000e-03	374
7.650000e-01	1.645000e-03	329
7.750000e-01	1.735000e-03	347
7.850000e-01	1.535000e-03	307
7.950000e-01	1.380000e-03	276
8.050000e-01	1.275000e-03	255
8.150000e-01	1.310000e-03	262
8.250000e-01	1.050000e-03	210
8.350000e-01	1.235000e-03	247
8.450000e-01	9.350000e-04	187
8.550000e-01	8.850000e-04	177
8.650000e-01	8.800000e-04	176
8.750000e-01	9.600000e-04	192
8.850000e-01	8.100000e-04	162
8.950000e-01	9.500000e-04	190
9.050000e-01	7.900000e-04	158
9.150000e-01	7.200000e-04	144
9.250000e-01	8.700000e-04	174
9.350000e-01	6.350000e-04	127
9.450000e-01	7.600000e-04	152
9.550000e-01	7.400000e-04	148
9.650000e-01	6.350000e-04	127
9.750000e-01	6.850000e-04	137
9.850000e-01	6.050000e-04	121
9.950000e-01	6.100000e-04	122
1.005000e+00	6.550000e-04	131
1.015000e+00	6.750000e-04	135
1.025000e+00	5.900000e-04	118
1.035000e+00	5.650000e-04	113
1.045000e+00	5.950000e-04	119
1.055000e+00	6.100000e-04	122
1.065000e+00	6.350000e-04	127
1.075000e+00	5.100000e-04	102
1.085000e+00	6.350000e-04	127
1.095000e+00	5.400000e-04	108
1.105000e+00	4.450000e-04	89
1.115000e+00	5.150000e-04	103
1.125000e+00	4.200000e-04	84
1.135000e+00	3.950000e-04	79
1.145000e+00	4.300000e-04	86
1.155000e+00	4.650000e-04	93
1.165000e+00	4.200000e-04	84
1.175000e+00	4.300000e-04	86
1.185000e+00	4.700000e-04	94
1.195000e+00	3.750000e-04	75
1.205000e+00	3.600000e-04	72
1.215000e+00	3.700000e-04	74
1.225000e+00	2.900000e-04	58
1.235000e+00	3.400000e-04	68
1.245000e+00	2.650000e-04	53
1.255000e+00	2.400000e-04	48
1.265000e+00	2.950000e-04	59
1.275000e+00	1.450000e-04	29
1.285000e+00	1.950000e-04	39
1.295000e+00	2.000000e-04	40
1.305000e+00	1.450000e-04	29
1.315000e+00	1.200000e-04	24
1.325000e+00	1.550000e-04	31
1.335000e+00	1.100000e-04	22
1.345000e+00	6.500000e-05	13
1.355000e+00	8.500000e-05	17
1.365000e+00	5.500000e-05	11
1.375000e+00	5.500000e-05	11
1.385000e+00	5.000000e-05	10
1.395000e+00	4.000000e-05	8
1.405000e+00	1.500000e-05	3
1.415000e+00	0.000000e+00	0
1.425000e+00	2.000000e-05	4
1.435000e+00	1.500000e-05	3
1.445000e+00	1.000000e-05	2
1.455000e+00	0.000000e+00	0
1.465000e+00	0.000000e+00	0
1.475000e+00	0.000000e+00	0
1.485000e+00	0.000000e+00	0
1.495000e+00	0.000000e+00	0
