Maximum data : 1.201885e+00
Minimum data : -8.809229e-01
Median : -2.350000e-01
Average : -3.556767e-04
Variance : 2.192713e-01
Normalized entropy : 8.856738e-01
Data	Probability	The number of points
-9.850000e-01	0.000000e+00	0
-9.550000e-01	0.000000e+00	0
-9.250000e-01	0.000000e+00	0
-8.950000e-01	1.500000e-05	3
-8.650000e-01	4.190000e-03	838
-8.350000e-01	2.140000e-02	4280
-8.050000e-01	2.398500e-02	4797
-7.750000e-01	1.616000e-02	3232
-7.450000e-01	1.246500e-02	2493
-7.150000e-01	1.237000e-02	2474
-6.850000e-01	1.099500e-02	2199
-6.550000e-01	9.300000e-03	1860
-6.250000e-01	9.135000e-03	1827
-5.950000e-01	8.405000e-03	1681
-5.650000e-01	8.500000e-03	1700
-5.350000e-01	8.975000e-03	1795
-5.050000e-01	9.665000e-03	1933
-4.750000e-01	1.138000e-02	2276
-4.450000e-01	1.314000e-02	2628
-4.150000e-01	1.506000e-02	3012
-3.850000e-01	1.755500e-02	3511
-3.550000e-01	1.903500e-02	3807
-3.250000e-01	2.197500e-02	4395
-2.950000e-01	2.524000e-02	5048
-2.650000e-01	2.640000e-02	5280
-2.350000e-01	2.715000e-02	5430
-2.050000e-01	2.664500e-02	5329
-1.750000e-01	2.668000e-02	5336
-1.450000e-01	2.659000e-02	5318
-1.150000e-01	2.671000e-02	5342
-8.500000e-02	2.689000e-02	5378
-5.500000e-02	2.569500e-02	5139
-2.500000e-02	2.433500e-02	4867
5.000000e-03	2.345000e-02	4690
3.500000e-02	2.230000e-02	4460
6.500000e-02	2.214000e-02	4428
9.500000e-02	2.177500e-02	4355
1.250000e-01	2.141500e-02	4283
1.550000e-01	1.979500e-02	3959
1.850000e-01	1.989500e-02	3979
2.150000e-01	2.105500e-02	4211
2.450000e-01	2.180500e-02	4361
2.750000e-01	2.200500e-02	4401
3.050000e-01	2.030000e-02	4060
3.350000e-01	1.846500e-02	3693
3.650000e-01	1.708500e-02	3417
3.950000e-01	1.564500e-02	3129
4.250000e-01	1.550500e-02	3101
4.550000e-01	1.337500e-02	2675
4.850000e-01	1.214500e-02	2429
5.150000e-01	1.224500e-02	2449
5.450000e-01	1.184500e-02	2369
5.750000e-01	1.118500e-02	2237
6.050000e-01	9.735000e-03	1947
6.350000e-01	9.085000e-03	1817
6.650000e-01	8.785000e-03	1757
6.950000e-01	8.530000e-03	1706
7.250000e-01	8.765000e-03	1753
7.550000e-01	8.240000e-03	1648
7.850000e-01	8.535000e-03	1707
8.150000e-01	7.730000e-03	1546
8.450000e-01	7.075000e-03	1415
8.750000e-01	6.950000e-03	1390
9.050000e-01	6.745000e-03	1349
9.350000e-01	5.740000e-03	1148
9.650000e-01	5.500000e-03	1100
9.950000e-01	4.830000e-03	966
1.025000e+00	4.115000e-03	823
1.055000e+00	3.490000e-03	698
1.085000e+00	2.485000e-03	497
1.115000e+00	2.065000e-03	413
1.145000e+00	1.590000e-03	318
1.175000e+00	5.250000e-04	105
1.205000e+00	1.500000e-05	3
1.235000e+00	0.000000e+00	0
1.265000e+00	0.000000e+00	0
1.295000e+00	0.000000e+00	0
1.325000e+00	0.000000e+00	0
1.355000e+00	0.000000e+00	0
1.385000e+00	0.000000e+00	0
1.415000e+00	0.000000e+00	0
1.445000e+00	0.000000e+00	0
1.475000e+00	0.000000e+00	0
1.505000e+00	0.000000e+00	0
1.535000e+00	0.000000e+00	0
1.565000e+00	0.000000e+00	0
1.595000e+00	0.000000e+00	0
1.625000e+00	0.000000e+00	0
1.655000e+00	0.000000e+00	0
1.685000e+00	0.000000e+00	0
1.715000e+00	0.000000e+00	0
1.745000e+00	0.000000e+00	0
1.775000e+00	0.000000e+00	0
1.805000e+00	0.000000e+00	0
1.835000e+00	0.000000e+00	0
1.865000e+00	0.000000e+00	0
1.895000e+00	0.000000e+00	0
1.925000e+00	0.000000e+00	0
1.955000e+00	0.000000e+00	0
1.985000e+00	0.000000e+00	0
