Maximum data : 4.291538e-02
Minimum data : 1.864725e-02
Median : 5.000000e-02
Average : 2.983179e-02
Variance : 9.056196e-06
Normalized entropy : 0.000000e+00
Data	Probability	The number of points
5.000000e-02	1.000000e+00	4000
1.500000e-01	0.000000e+00	0
2.500000e-01	0.000000e+00	0
3.500000e-01	0.000000e+00	0
4.500000e-01	0.000000e+00	0
5.500000e-01	0.000000e+00	0
6.500000e-01	0.000000e+00	0
7.500000e-01	0.000000e+00	0
8.500000e-01	0.000000e+00	0
9.500000e-01	0.000000e+00	0
1.050000e+00	0.000000e+00	0
1.150000e+00	0.000000e+00	0
1.250000e+00	0.000000e+00	0
1.350000e+00	0.000000e+00	0
1.450000e+00	0.000000e+00	0
1.550000e+00	0.000000e+00	0
1.650000e+00	0.000000e+00	0
1.750000e+00	0.000000e+00	0
1.850000e+00	0.000000e+00	0
1.950000e+00	0.000000e+00	0
2.050000e+00	0.000000e+00	0
2.150000e+00	0.000000e+00	0
2.250000e+00	0.000000e+00	0
2.350000e+00	0.000000e+00	0
2.450000e+00	0.000000e+00	0
2.550000e+00	0.000000e+00	0
2.650000e+00	0.000000e+00	0
2.750000e+00	0.000000e+00	0
2.850000e+00	0.000000e+00	0
2.950000e+00	0.000000e+00	0
3.050000e+00	0.000000e+00	0
3.150000e+00	0.000000e+00	0
3.250000e+00	0.000000e+00	0
3.350000e+00	0.000000e+00	0
3.450000e+00	0.000000e+00	0
3.550000e+00	0.000000e+00	0
3.650000e+00	0.000000e+00	0
3.750000e+00	0.000000e+00	0
3.850000e+00	0.000000e+00	0
3.950000e+00	0.000000e+00	0
4.050000e+00	0.000000e+00	0
4.150000e+00	0.000000e+00	0
4.250000e+00	0.000000e+00	0
4.350000e+00	0.000000e+00	0
4.450000e+00	0.000000e+00	0
4.550000e+00	0.000000e+00	0
4.650000e+00	0.000000e+00	0
4.750000e+00	0.000000e+00	0
4.850000e+00	0.000000e+00	0
4.950000e+00	0.000000e+00	0
