Maximum data : 3.675530e+00
Minimum data : 5.981183e-02
Median : 1.450000e+00
Average : 1.945265e+00
Variance : 3.323329e-01
Normalized entropy : 8.021945e-01
Data	Probability	The number of points
5.000000e-02	2.500000e-04	1
1.500000e-01	0.000000e+00	0
2.500000e-01	0.000000e+00	0
3.500000e-01	0.000000e+00	0
4.500000e-01	5.000000e-04	2
5.500000e-01	1.250000e-03	5
6.500000e-01	4.250000e-03	17
7.500000e-01	6.250000e-03	25
8.500000e-01	6.750000e-03	27
9.500000e-01	1.050000e-02	42
1.050000e+00	1.500000e-02	60
1.150000e+00	3.275000e-02	131
1.250000e+00	4.775000e-02	191
1.350000e+00	6.325000e-02	253
1.450000e+00	6.950000e-02	278
1.550000e+00	6.700000e-02	268
1.650000e+00	5.825000e-02	233
1.750000e+00	6.175000e-02	247
1.850000e+00	5.600000e-02	224
1.950000e+00	5.225000e-02	209
2.050000e+00	6.050000e-02	242
2.150000e+00	4.725000e-02	189
2.250000e+00	5.425000e-02	217
2.350000e+00	4.800000e-02	192
2.450000e+00	4.800000e-02	192
2.550000e+00	4.325000e-02	173
2.650000e+00	3.325000e-02	133
2.750000e+00	3.100000e-02	124
2.850000e+00	2.375000e-02	95
2.950000e+00	1.725000e-02	69
3.050000e+00	1.525000e-02	61
3.150000e+00	1.025000e-02	41
3.250000e+00	6.000000e-03	24
3.350000e+00	3.750000e-03	15
3.450000e+00	2.250000e-03	9
3.550000e+00	2.000000e-03	8
3.650000e+00	7.500000e-04	3
3.750000e+00	0.000000e+00	0
3.850000e+00	0.000000e+00	0
3.950000e+00	0.000000e+00	0
4.050000e+00	0.000000e+00	0
4.150000e+00	0.000000e+00	0
4.250000e+00	0.000000e+00	0
4.350000e+00	0.000000e+00	0
4.450000e+00	0.000000e+00	0
4.550000e+00	0.000000e+00	0
4.650000e+00	0.000000e+00	0
4.750000e+00	0.000000e+00	0
4.850000e+00	0.000000e+00	0
4.950000e+00	0.000000e+00	0
