Maximum data : 5.298868e-01
Minimum data : -5.270019e-01
Median : -1.450000e-01
Average : 7.393892e-06
Variance : 7.154510e-02
Normalized entropy : 7.470319e-01
Data	Probability	The number of points
-9.850000e-01	0.000000e+00	0
-9.550000e-01	0.000000e+00	0
-9.250000e-01	0.000000e+00	0
-8.950000e-01	0.000000e+00	0
-8.650000e-01	0.000000e+00	0
-8.350000e-01	0.000000e+00	0
-8.050000e-01	0.000000e+00	0
-7.750000e-01	0.000000e+00	0
-7.450000e-01	0.000000e+00	0
-7.150000e-01	0.000000e+00	0
-6.850000e-01	0.000000e+00	0
-6.550000e-01	0.000000e+00	0
-6.250000e-01	0.000000e+00	0
-5.950000e-01	0.000000e+00	0
-5.650000e-01	0.000000e+00	0
-5.350000e-01	1.600000e-04	64
-5.050000e-01	2.667500e-02	10670
-4.750000e-01	3.531750e-02	14127
-4.450000e-01	2.121500e-02	8486
-4.150000e-01	1.894000e-02	7576
-3.850000e-01	1.545000e-02	6180
-3.550000e-01	1.481750e-02	5927
-3.250000e-01	1.328000e-02	5312
-2.950000e-01	1.093500e-02	4374
-2.650000e-01	1.072500e-02	4290
-2.350000e-01	2.018250e-02	8073
-2.050000e-01	4.300250e-02	17201
-1.750000e-01	4.279250e-02	17117
-1.450000e-01	4.666000e-02	18664
-1.150000e-01	4.555500e-02	18222
-8.500000e-02	4.176750e-02	16707
-5.500000e-02	4.045500e-02	16182
-2.500000e-02	4.177250e-02	16709
5.000000e-03	3.332250e-02	13329
3.500000e-02	4.232250e-02	16929
6.500000e-02	4.002000e-02	16008
9.500000e-02	4.421250e-02	17685
1.250000e-01	4.622500e-02	18490
1.550000e-01	4.473250e-02	17893
1.850000e-01	4.312750e-02	17251
2.150000e-01	3.775500e-02	15102
2.450000e-01	1.412500e-02	5650
2.750000e-01	1.109250e-02	4437
3.050000e-01	1.241000e-02	4964
3.350000e-01	1.376750e-02	5507
3.650000e-01	1.442500e-02	5770
3.950000e-01	1.672250e-02	6689
4.250000e-01	1.951000e-02	7804
4.550000e-01	2.363500e-02	9454
4.850000e-01	4.027500e-02	16110
5.150000e-01	1.261750e-02	5047
5.450000e-01	0.000000e+00	0
5.750000e-01	0.000000e+00	0
6.050000e-01	0.000000e+00	0
6.350000e-01	0.000000e+00	0
6.650000e-01	0.000000e+00	0
6.950000e-01	0.000000e+00	0
7.250000e-01	0.000000e+00	0
7.550000e-01	0.000000e+00	0
7.850000e-01	0.000000e+00	0
8.150000e-01	0.000000e+00	0
8.450000e-01	0.000000e+00	0
8.750000e-01	0.000000e+00	0
9.050000e-01	0.000000e+00	0
9.350000e-01	0.000000e+00	0
9.650000e-01	0.000000e+00	0
9.950000e-01	0.000000e+00	0
1.025000e+00	0.000000e+00	0
1.055000e+00	0.000000e+00	0
1.085000e+00	0.000000e+00	0
1.115000e+00	0.000000e+00	0
1.145000e+00	0.000000e+00	0
1.175000e+00	0.000000e+00	0
1.205000e+00	0.000000e+00	0
1.235000e+00	0.000000e+00	0
1.265000e+00	0.000000e+00	0
1.295000e+00	0.000000e+00	0
1.325000e+00	0.000000e+00	0
1.355000e+00	0.000000e+00	0
1.385000e+00	0.000000e+00	0
1.415000e+00	0.000000e+00	0
1.445000e+00	0.000000e+00	0
1.475000e+00	0.000000e+00	0
1.505000e+00	0.000000e+00	0
1.535000e+00	0.000000e+00	0
1.565000e+00	0.000000e+00	0
1.595000e+00	0.000000e+00	0
1.625000e+00	0.000000e+00	0
1.655000e+00	0.000000e+00	0
1.685000e+00	0.000000e+00	0
1.715000e+00	0.000000e+00	0
1.745000e+00	0.000000e+00	0
1.775000e+00	0.000000e+00	0
1.805000e+00	0.000000e+00	0
1.835000e+00	0.000000e+00	0
1.865000e+00	0.000000e+00	0
1.895000e+00	0.000000e+00	0
1.925000e+00	0.000000e+00	0
1.955000e+00	0.000000e+00	0
1.985000e+00	0.000000e+00	0
