Delay time (MZM2) \ft\n\d2\n [ms]	NMSE for training	NMSE for test	Normalized entropy
1.000000e-03	1.029026e-02	1.121737e-02	9.113507e-01
2.000000e-03	1.034419e-02	1.142615e-02	9.113109e-01
3.000000e-03	1.002735e-02	1.193801e-02	9.113641e-01
4.000000e-03	9.337020e-03	1.147902e-02	9.113156e-01
5.000000e-03	8.694743e-03	1.057105e-02	9.112656e-01
6.000000e-03	8.114545e-03	9.800331e-03	9.113493e-01
7.000000e-03	7.686092e-03	9.357544e-03	9.113363e-01
8.000000e-03	7.393696e-03	9.046934e-03	9.111642e-01
9.000000e-03	7.212185e-03	8.717981e-03	9.111328e-01
1.000000e-02	7.087208e-03	8.505178e-03	9.109372e-01
1.100000e-02	7.024263e-03	8.433212e-03	9.108690e-01
1.200000e-02	6.943667e-03	8.357964e-03	9.106825e-01
1.300000e-02	6.891102e-03	8.210276e-03	9.104997e-01
1.400000e-02	6.810565e-03	8.096555e-03	9.104802e-01
1.500000e-02	6.703065e-03	7.972181e-03	9.102447e-01
1.600000e-02	6.639222e-03	7.868509e-03	9.101559e-01
1.700000e-02	6.548698e-03	7.687707e-03	9.101895e-01
1.800000e-02	6.465460e-03	7.499056e-03	9.099524e-01
1.900000e-02	6.411004e-03	7.330064e-03	9.096271e-01
2.000000e-02	6.295540e-03	7.101577e-03	9.096441e-01
2.100000e-02	6.172035e-03	6.910462e-03	9.097355e-01
2.200000e-02	6.118410e-03	6.817154e-03	9.096907e-01
2.300000e-02	6.112712e-03	6.795264e-03	9.095749e-01
2.400000e-02	6.157742e-03	6.827538e-03	9.092701e-01
2.500000e-02	6.009066e-03	6.568584e-03	9.091676e-01
2.600000e-02	5.934039e-03	6.422539e-03	9.090435e-01
2.700000e-02	5.873529e-03	6.259885e-03	9.090374e-01
2.800000e-02	5.757289e-03	6.084858e-03	9.089432e-01
2.900000e-02	5.741472e-03	6.081810e-03	9.088163e-01
3.000000e-02	5.766255e-03	6.016171e-03	9.083459e-01
3.100000e-02	5.784898e-03	5.955113e-03	9.076982e-01
3.200000e-02	5.859836e-03	6.001563e-03	9.072584e-01
3.300000e-02	5.939246e-03	6.056064e-03	9.070662e-01
3.400000e-02	5.971200e-03	5.999889e-03	9.069233e-01
3.500000e-02	5.944289e-03	5.835316e-03	9.068509e-01
3.600000e-02	5.912409e-03	5.832509e-03	9.067986e-01
3.700000e-02	5.900064e-03	5.850347e-03	9.067742e-01
3.800000e-02	5.866577e-03	5.800163e-03	9.066472e-01
3.900000e-02	5.834820e-03	5.825823e-03	9.065937e-01
4.000000e-02	5.714699e-03	5.738439e-03	9.067353e-01
4.100000e-02	5.626753e-03	5.612601e-03	9.067930e-01
4.200000e-02	5.633940e-03	5.572278e-03	9.066956e-01
4.300000e-02	5.665706e-03	5.705008e-03	9.068305e-01
4.400000e-02	5.737239e-03	5.769280e-03	9.068473e-01
4.500000e-02	5.752410e-03	5.696854e-03	9.068967e-01
4.600000e-02	5.739570e-03	5.748418e-03	9.069001e-01
4.700000e-02	5.866283e-03	5.828573e-03	9.071252e-01
4.800000e-02	6.200014e-03	6.112665e-03	9.070978e-01
4.900000e-02	6.447747e-03	6.354468e-03	9.067487e-01
5.000000e-02	6.491205e-03	6.331964e-03	9.067160e-01
5.100000e-02	6.635827e-03	6.382603e-03	9.066489e-01
5.200000e-02	6.783262e-03	6.394627e-03	9.065778e-01
5.300000e-02	6.811830e-03	6.486943e-03	9.065983e-01
5.400000e-02	6.799921e-03	6.543712e-03	9.064719e-01
5.500000e-02	6.869490e-03	6.486561e-03	9.065666e-01
5.600000e-02	6.758295e-03	6.420554e-03	9.069369e-01
5.700000e-02	6.457055e-03	6.215498e-03	9.071207e-01
5.800000e-02	6.284179e-03	6.021795e-03	9.070213e-01
5.900000e-02	6.015883e-03	5.913742e-03	9.068435e-01
6.000000e-02	6.173306e-03	6.012507e-03	9.069100e-01
6.100000e-02	6.834479e-03	6.427743e-03	9.067825e-01
