Index	Input data	Target	Training result	Node vc difference
0	-8.129019e-01	-5.555970e-01	-5.919210e-01	1.229851e+01
1	8.305299e-01	5.087471e-01	5.809664e-01	8.115726e-01
2	-3.147524e-01	-8.351044e-01	-7.298595e-01	9.561910e+00
3	6.400526e-02	1.996263e-01	2.299510e-01	5.460243e+00
4	-4.595299e-01	-9.918355e-01	-1.012500e+00	1.037196e+01
5	-3.350405e-02	-1.050088e-01	-8.467032e-02	6.307571e+00
6	4.262657e-01	9.731344e-01	9.641276e-01	2.396226e+00
7	-8.493415e-01	-4.570364e-01	-5.499083e-01	1.260785e+01
8	3.613410e-01	9.063698e-01	8.531980e-01	2.692854e+00
9	-5.645111e-01	-9.797137e-01	-1.018642e+00	1.124672e+01
10	7.701844e-02	2.394874e-01	3.007073e-01	5.237217e+00
11	-8.171934e-01	-5.443426e-01	-4.974786e-01	1.235042e+01
12	-1.577657e-01	-4.753699e-01	-5.318001e-01	7.397837e+00
13	2.285739e-01	6.576703e-01	6.823800e-01	3.937311e+00
14	8.913480e-01	3.360878e-01	2.631757e-01	2.035304e+00
15	-9.619712e-01	-1.207081e-01	-1.465446e-01	1.279904e+01
16	-2.557165e-01	-7.194082e-01	-7.913737e-01	8.227049e+00
17	-2.203839e-01	-6.380825e-01	-5.223319e-01	8.156964e+00
18	7.255896e-01	7.599534e-01	7.940465e-01	7.938117e-01
19	-1.512435e-01	-4.572536e-01	-5.222069e-01	8.164802e+00
20	-6.977428e-02	-2.173427e-01	-1.918665e-01	6.800361e+00
21	-2.943621e-02	-9.229816e-02	-7.642590e-02	6.448452e+00
22	-9.547386e-01	-1.432193e-01	-8.722245e-02	1.270496e+01
23	5.181755e-02	1.619902e-01	1.682305e-01	5.398797e+00
24	-4.073965e-01	-9.577933e-01	-9.686521e-01	9.972478e+00
25	4.550600e-01	9.899479e-01	1.057227e+00	1.995821e+00
26	-8.424206e-01	-4.762561e-01	-6.704123e-01	1.257590e+01
27	5.048419e-01	9.998962e-01	9.760239e-01	1.728304e+00
28	1.032208e-01	3.184684e-01	2.721301e-01	5.776185e+00
29	-5.006102e-01	-9.999994e-01	-1.075617e+00	1.064803e+01
30	5.201721e-01	9.980448e-01	1.003093e+00	1.439267e+00
31	8.345785e-01	4.977616e-01	4.629638e-01	2.570149e+00
32	7.794364e-01	6.397419e-01	6.793282e-01	3.237448e+00
33	2.118325e-01	6.171804e-01	6.448525e-01	5.096956e+00
34	3.015450e-01	8.115800e-01	7.459184e-01	3.791557e+00
35	1.122780e-01	3.452947e-01	2.951024e-01	5.443345e+00
36	-6.600034e-01	-8.768075e-01	-7.926532e-01	1.175112e+01
37	-6.613270e-01	-8.748015e-01	-9.167515e-01	1.132277e+01
38	4.471388e-01	9.861243e-01	9.928396e-01	1.914624e+00
39	-8.784008e-01	-3.740888e-01	-3.199618e-01	1.268250e+01
40	9.186047e-01	2.543485e-01	2.788748e-01	1.006203e+00
41	3.795565e-01	9.290392e-01	9.958881e-01	4.109733e+00
42	9.669899e-01	1.050503e-01	7.325013e-02	2.588132e+00
43	1.451771e-01	4.402312e-01	5.392452e-01	5.694405e+00
44	-9.794707e-01	-6.600651e-02	-4.332940e-02	1.267531e+01
45	-7.962952e-01	-5.981780e-01	-7.676637e-01	1.186637e+01
46	-6.574167e-01	-8.806839e-01	-8.207896e-01	1.118816e+01
47	9.269990e-01	2.287717e-01	2.872510e-01	5.916221e-01
48	-6.091400e-01	-9.421183e-01	-8.852580e-01	1.159140e+01
49	-8.908645e-01	-3.375173e-01	-3.227174e-01	1.209891e+01
50	7.386893e-01	7.325825e-01	7.487139e-01	5.905739e-01
51	9.232051e-01	2.403522e-01	2.234310e-01	2.889413e+00
52	-5.006235e-02	-1.565492e-01	-1.556110e-01	7.294467e+00
53	7.905691e-01	6.124891e-01	5.854146e-01	1.624059e+00
54	-8.083023e-01	-5.675469e-01	-6.389014e-01	1.254167e+01
55	-1.488914e-01	-4.506729e-01	-4.600791e-01	7.307872e+00
56	7.818367e-01	6.339309e-01	5.404003e-01	8.663657e-01
57	3.313103e-01	8.625633e-01	8.917309e-01	4.269951e+00
58	-3.990826e-01	-9.499636e-01	-9.941310e-01	9.989357e+00
59	5.218709e-01	9.976972e-01	9.699345e-01	1.544191e+00
60	4.631058e-01	9.932048e-01	8.797663e-01	3.172083e+00
61	-9.725273e-01	-8.774393e-02	-9.156243e-02	1.278207e+01
62	-3.230515e-01	-8.491541e-01	-8.821683e-01	8.844073e+00
63	-7.134990e-01	-7.840758e-01	-8.147700e-01	1.168090e+01
64	2.806579e-01	7.715448e-01	7.820460e-01	3.294673e+00
65	5.015982e-01	9.999911e-01	9.553017e-01	2.545413e+00
66	-9.827960e-01	-5.558440e-02	1.331571e-02	1.282852e+01
67	-8.327219e-01	-5.028096e-01	-6.121333e-01	1.187230e+01
68	-3.552895e-01	-8.981787e-01	-9.076776e-01	9.086184e+00
69	-1.172197e-01	-3.598152e-01	-2.992041e-01	7.157534e+00
70	3.312805e-01	8.625160e-01	9.483009e-01	3.081532e+00
71	-5.753724e-01	-9.723107e-01	-9.800198e-01	1.135303e+01
72	3.393129e-01	8.750033e-01	9.904013e-01	2.835944e+00
73	-1.540312e-01	-4.650207e-01	-4.630468e-01	7.971570e+00
74	5.188367e-01	9.982981e-01	1.012725e+00	1.845851e+00
75	-7.906303e-01	-6.123373e-01	-6.438333e-01	1.243085e+01
76	1.369925e-01	4.170130e-01	3.843470e-01	4.637341e+00
77	-6.951845e-01	-8.184529e-01	-7.685624e-01	1.187520e+01
78	-4.292505e-01	-9.752495e-01	-1.019144e+00	9.741303e+00
79	1.951706e-01	5.751895e-01	6.516118e-01	4.085434e+00
80	-2.128674e-01	-6.197340e-01	-5.836435e-01	8.432252e+00
81	-2.341353e-01	-6.707244e-01	-5.990490e-01	8.312369e+00
82	6.130988e-01	9.378778e-01	9.817066e-01	9.957103e-01
83	2.683339e-01	7.463551e-01	7.106544e-01	4.554961e+00
84	5.632347e-01	9.805090e-01	9.783455e-01	2.485185e+00
85	2.891743e-02	9.067602e-02	4.022315e-02	6.449997e+00
86	4.771461e-01	9.973689e-01	9.781290e-01	2.351881e+00
87	4.789011e-01	9.977532e-01	8.562489e-01	3.060814e+00
88	5.506470e-01	9.875069e-01	1.002938e+00	2.891555e+00
89	-5.570803e-01	-9.841225e-01	-8.773718e-01	1.122794e+01
90	8.807492e-01	3.672403e-01	4.236031e-01	9.712577e-01
91	5.007246e-01	9.999989e-01	1.124006e+00	3.484706e+00
92	-8.196917e-01	-5.377454e-01	-5.711821e-01	1.239816e+01
93	-4.143049e-01	-9.638032e-01	-9.420967e-01	9.600157e+00
94	7.191732e-01	7.728937e-01	8.468597e-01	3.195854e-01
95	-3.481900e-01	-8.881558e-01	-8.764390e-01	9.831465e+00
96	-3.544449e-01	-8.970096e-01	-8.262790e-01	9.270206e+00
97	2.508187e-01	7.086413e-01	7.884502e-01	3.587409e+00
98	7.596207e-01	6.862958e-01	6.761762e-01	1.936889e+00
99	-4.141661e-01	-9.636869e-01	-9.978151e-01	1.031319e+01
100	-1.972643e-01	-5.805549e-01	-5.148170e-01	7.853726e+00
101	-1.935795e-01	-5.710955e-01	-5.586110e-01	7.947333e+00
102	-1.702902e-01	-5.095927e-01	-5.042999e-01	7.759321e+00
103	-5.609136e-02	-1.752177e-01	-1.248744e-01	6.652407e+00
104	-4.013650e-01	-9.521778e-01	-9.063006e-01	9.871785e+00
105	-5.794021e-01	-9.692760e-01	-9.825505e-01	1.092226e+01
106	2.193346e-01	6.355424e-01	7.060384e-01	3.847945e+00
107	-6.996620e-01	-8.102941e-01	-7.236630e-01	1.195124e+01
108	-5.448426e-01	-9.902147e-01	-9.937982e-01	1.054125e+01
109	-2.827886e-01	-7.757837e-01	-6.732016e-01	8.541662e+00
110	-9.498685e-01	-1.583363e-01	-3.333118e-02	1.246381e+01
111	-7.432703e-01	-7.227159e-01	-8.273669e-01	1.159226e+01
112	6.059511e-02	1.891227e-01	2.509793e-01	5.320491e+00
113	4.350180e-01	9.790936e-01	9.987568e-01	2.557341e+00
114	9.048048e-01	2.960032e-01	3.300853e-01	2.570771e+00
115	-9.459399e-01	-1.705041e-01	-1.365186e-01	1.274439e+01
116	9.789383e-01	6.767468e-02	9.675747e-02	1.132421e+00
117	8.092396e-01	5.651213e-01	6.575973e-01	3.054377e+00
118	-2.060287e-01	-6.027397e-01	-6.809153e-01	8.588059e+00
119	1.858042e-01	5.508858e-01	5.646251e-01	4.374908e+00
120	-4.198590e-01	-9.683061e-01	-1.049629e+00	1.023612e+01
121	4.524648e-01	9.887626e-01	1.068484e+00	1.942919e+00
122	-3.307401e-02	-1.036658e-01	-2.304049e-01	6.937793e+00
123	6.810530e-01	8.431345e-01	8.175860e-01	1.541010e+00
124	-9.787337e-01	-6.831556e-02	-1.076466e-01	1.287599e+01
125	-2.995440e-01	-8.078930e-01	-9.199558e-01	8.602653e+00
126	8.541868e-01	4.434518e-01	4.443181e-01	6.004989e-01
127	2.603720e-01	7.294846e-01	7.701761e-01	4.800893e+00
128	-1.544862e-01	-4.662850e-01	-5.482727e-01	7.848330e+00
129	7.862469e-01	6.231606e-01	5.351379e-01	1.160335e+00
130	-7.170055e-01	-7.771948e-01	-8.567206e-01	1.218156e+01
131	-1.128621e-01	-3.470156e-01	-2.394279e-01	6.983329e+00
132	-7.791665e-01	-6.403930e-01	-6.090003e-01	1.210434e+01
133	-8.058887e-01	-5.737705e-01	-5.824008e-01	1.189771e+01
134	7.522333e-01	7.029808e-01	7.191071e-01	5.277718e-01
135	3.280188e-01	8.572882e-01	8.710224e-01	4.278510e+00
136	2.773851e-02	8.698884e-02	8.245165e-02	6.247053e+00
137	-6.062165e-01	-9.451563e-01	-8.865998e-01	1.133694e+01
138	6.545031e-01	8.849809e-01	8.626874e-01	7.169002e-01
139	-5.659462e-01	-9.788007e-01	-9.953951e-01	1.135203e+01
140	-6.082721e-01	-9.430284e-01	-9.403626e-01	1.095022e+01
141	9.305109e-01	2.180230e-01	2.196142e-01	6.485335e-01
142	-7.383771e-01	-7.332494e-01	-7.190013e-01	1.220119e+01
143	-8.963461e-01	-3.212658e-01	-4.107198e-01	1.203831e+01
144	4.519278e-01	9.885091e-01	8.697740e-01	1.935426e+00
145	-8.844186e-01	-3.564992e-01	-1.966065e-01	1.270568e+01
146	-9.298360e-01	-2.200907e-01	-3.158192e-01	1.213532e+01
147	9.343062e-01	2.063775e-01	2.462599e-01	8.220711e-01
148	-4.294451e-01	-9.753844e-01	-8.060407e-01	1.042820e+01
149	-2.655821e-01	-7.405765e-01	-6.598399e-01	8.457040e+00
150	3.233951e-01	8.497236e-01	8.336961e-01	2.998155e+00
151	-3.013672e-01	-8.112536e-01	-8.055341e-01	9.306551e+00
152	-7.923254e-01	-6.081205e-01	-5.988523e-01	1.204988e+01
153	-4.990609e-01	-9.999930e-01	-9.834565e-01	1.024075e+01
154	9.743032e-02	3.011813e-01	3.514127e-01	5.008798e+00
155	-4.258095e-01	-9.728036e-01	-9.437550e-01	1.017056e+01
156	4.160850e-01	9.652783e-01	1.008637e+00	2.233705e+00
157	7.862094e-01	6.232527e-01	6.356625e-01	2.352304e+00
158	-5.757109e-01	-9.720618e-01	-9.536500e-01	1.136382e+01
159	2.420260e-01	6.888937e-01	7.619571e-01	3.741658e+00
160	6.063531e-02	1.892466e-01	1.531613e-01	5.874159e+00
161	2.876771e-01	7.853777e-01	7.269325e-01	3.674086e+00
162	-2.289146e-01	-6.584759e-01	-6.384768e-01	8.602032e+00
163	1.206085e-01	3.697228e-01	3.539174e-01	4.907161e+00
164	-5.429258e-01	-9.910367e-01	-1.008376e+00	1.103514e+01
165	2.362713e-01	6.756838e-01	7.211033e-01	3.719754e+00
166	-4.355858e-01	-9.794547e-01	-1.026756e+00	1.031097e+01
167	-7.865100e-01	-6.225142e-01	-6.429696e-01	1.192026e+01
168	-5.951751e-01	-9.559099e-01	-9.877506e-01	1.083075e+01
169	-5.678301e-01	-9.775720e-01	-9.339652e-01	1.069047e+01
170	2.286849e-01	6.579328e-01	5.754139e-01	3.775192e+00
171	9.832652e-01	5.411349e-02	-6.985588e-03	2.028284e+00
172	-8.069862e-01	-5.709445e-01	-5.829246e-01	1.245009e+01
173	-3.043560e-01	-8.167051e-01	-7.892190e-01	8.659818e+00
174	3.332939e-01	8.656979e-01	8.615119e-01	2.912292e+00
175	2.232357e-01	6.449517e-01	5.670014e-01	4.529217e+00
176	2.605137e-01	7.297888e-01	6.376898e-01	4.083976e+00
177	8.607667e-01	4.248399e-01	4.577774e-01	2.153125e+00
178	6.570096e-01	8.812889e-01	9.031619e-01	3.264465e+00
179	5.151019e-01	9.989133e-01	9.823615e-01	3.311815e+00
180	-7.840935e-01	-6.284345e-01	-6.760001e-01	1.231232e+01
181	-4.492303e-01	-9.871933e-01	-9.031832e-01	9.882814e+00
182	-9.242433e-01	-2.371865e-01	-2.791047e-01	1.235486e+01
183	-5.117669e-01	-9.993466e-01	-1.047719e+00	1.032067e+01
184	7.622953e-01	6.801634e-01	7.445596e-01	0.000000e+00
185	-8.041115e-01	-5.783320e-01	-6.504689e-01	1.247640e+01
186	2.638861e-01	7.369874e-01	6.980425e-01	3.513992e+00
187	-1.086613e-01	-3.346149e-01	-3.575892e-01	7.501698e+00
188	-6.731342e-01	-8.562424e-01	-8.325780e-01	1.166208e+01
189	6.836007e-01	8.388060e-01	8.532560e-01	6.060690e-01
190	-4.699498e-01	-9.954763e-01	-1.024880e+00	1.071715e+01
191	-5.888135e-01	-9.615848e-01	-9.292320e-01	1.086555e+01
192	-4.370155e-01	-9.803501e-01	-9.551831e-01	9.823480e+00
193	7.442125e-01	7.206681e-01	8.046394e-01	2.006395e-01
194	9.124404e-01	2.730190e-01	2.665513e-01	2.999466e+00
