Index	Input Santa Fe	Target	Training result	Node vc difference
0	8.600000e+01	1.410000e+02	1.638505e+02	0.000000e+00
1	1.410000e+02	9.500000e+01	8.546180e+01	3.335771e+00
2	9.500000e+01	4.100000e+01	3.765843e+01	4.009275e+00
3	4.100000e+01	2.200000e+01	1.611446e+01	4.729795e+00
4	2.200000e+01	2.100000e+01	1.294795e+01	4.814266e+00
5	2.100000e+01	3.200000e+01	3.387136e+01	4.652250e+00
6	3.200000e+01	7.200000e+01	7.233172e+01	3.890682e+00
7	7.200000e+01	1.380000e+02	1.378296e+02	2.437229e+00
8	1.380000e+02	1.110000e+02	1.117425e+02	3.113441e+00
9	1.110000e+02	4.800000e+01	4.791815e+01	3.815433e+00
10	4.800000e+01	2.300000e+01	2.937863e+01	4.364289e+00
11	2.300000e+01	1.900000e+01	2.414243e+01	4.740945e+00
12	1.900000e+01	2.700000e+01	2.950353e+01	4.624172e+00
13	2.700000e+01	5.900000e+01	5.491535e+01	4.188056e+00
14	5.900000e+01	1.290000e+02	1.296621e+02	2.809267e+00
15	1.290000e+02	1.290000e+02	1.209906e+02	2.779525e+00
16	1.290000e+02	5.800000e+01	5.359494e+01	3.770561e+00
17	5.800000e+01	2.700000e+01	2.807704e+01	4.190586e+00
18	2.700000e+01	1.900000e+01	2.049883e+01	4.694643e+00
19	1.900000e+01	2.400000e+01	2.598700e+01	4.635860e+00
20	2.400000e+01	4.600000e+01	4.854631e+01	4.359891e+00
21	4.600000e+01	1.120000e+02	1.097891e+02	3.272477e+00
22	1.120000e+02	1.440000e+02	1.378023e+02	2.424641e+00
23	1.440000e+02	7.300000e+01	7.075484e+01	3.707079e+00
24	7.300000e+01	3.000000e+01	2.907138e+01	4.017238e+00
25	3.000000e+01	2.000000e+01	2.248834e+01	4.681655e+00
26	2.000000e+01	1.900000e+01	1.989105e+01	4.655303e+00
27	1.900000e+01	3.700000e+01	3.625371e+01	4.542422e+00
28	3.700000e+01	9.200000e+01	9.237182e+01	3.638049e+00
