Maximum data : 1.513488e+00
Minimum data : -5.811743e-01
Median : -1.750000e-01
Average : -2.824353e-03
Variance : 1.149084e-01
Normalized entropy : 8.046907e-01
Data	Probability	The number of points
-9.850000e-01	0.000000e+00	0
-9.550000e-01	0.000000e+00	0
-9.250000e-01	0.000000e+00	0
-8.950000e-01	0.000000e+00	0
-8.650000e-01	0.000000e+00	0
-8.350000e-01	0.000000e+00	0
-8.050000e-01	0.000000e+00	0
-7.750000e-01	0.000000e+00	0
-7.450000e-01	0.000000e+00	0
-7.150000e-01	0.000000e+00	0
-6.850000e-01	0.000000e+00	0
-6.550000e-01	0.000000e+00	0
-6.250000e-01	0.000000e+00	0
-5.950000e-01	2.500000e-06	1
-5.650000e-01	1.592500e-03	637
-5.350000e-01	5.657500e-03	2263
-5.050000e-01	8.502500e-03	3401
-4.750000e-01	1.198750e-02	4795
-4.450000e-01	1.847000e-02	7388
-4.150000e-01	2.461000e-02	9844
-3.850000e-01	2.913250e-02	11653
-3.550000e-01	3.096000e-02	12384
-3.250000e-01	3.385000e-02	13540
-2.950000e-01	3.759000e-02	15036
-2.650000e-01	4.066250e-02	16265
-2.350000e-01	4.452750e-02	17811
-2.050000e-01	4.666000e-02	18664
-1.750000e-01	4.985250e-02	19941
-1.450000e-01	4.929500e-02	19718
-1.150000e-01	4.972750e-02	19891
-8.500000e-02	4.612750e-02	18451
-5.500000e-02	3.996000e-02	15984
-2.500000e-02	3.374500e-02	13498
5.000000e-03	2.956500e-02	11826
3.500000e-02	2.877250e-02	11509
6.500000e-02	2.435500e-02	9742
9.500000e-02	2.060000e-02	8240
1.250000e-01	1.873250e-02	7493
1.550000e-01	1.762000e-02	7048
1.850000e-01	1.581000e-02	6324
2.150000e-01	1.556500e-02	6226
2.450000e-01	1.543000e-02	6172
2.750000e-01	1.521750e-02	6087
3.050000e-01	1.432500e-02	5730
3.350000e-01	1.369000e-02	5476
3.650000e-01	1.293000e-02	5172
3.950000e-01	1.488000e-02	5952
4.250000e-01	1.397750e-02	5591
4.550000e-01	1.019250e-02	4077
4.850000e-01	1.164500e-02	4658
5.150000e-01	1.214500e-02	4858
5.450000e-01	1.129500e-02	4518
5.750000e-01	1.058000e-02	4232
6.050000e-01	9.525000e-03	3810
6.350000e-01	7.662500e-03	3065
6.650000e-01	6.892500e-03	2757
6.950000e-01	6.087500e-03	2435
7.250000e-01	5.417500e-03	2167
7.550000e-01	4.570000e-03	1828
7.850000e-01	4.005000e-03	1602
8.150000e-01	3.247500e-03	1299
8.450000e-01	2.830000e-03	1132
8.750000e-01	2.845000e-03	1138
9.050000e-01	2.895000e-03	1158
9.350000e-01	2.172500e-03	869
9.650000e-01	1.782500e-03	713
9.950000e-01	1.502500e-03	601
1.025000e+00	1.342500e-03	537
1.055000e+00	1.062500e-03	425
1.085000e+00	9.550000e-04	382
1.115000e+00	8.300000e-04	332
1.145000e+00	7.925000e-04	317
1.175000e+00	7.050000e-04	282
1.205000e+00	6.675000e-04	267
1.235000e+00	4.950000e-04	198
1.265000e+00	4.475000e-04	179
1.295000e+00	3.350000e-04	134
1.325000e+00	2.350000e-04	94
1.355000e+00	1.725000e-04	69
1.385000e+00	1.150000e-04	46
1.415000e+00	1.025000e-04	41
1.445000e+00	4.500000e-05	18
1.475000e+00	1.000000e-05	4
1.505000e+00	1.250000e-05	5
1.535000e+00	0.000000e+00	0
1.565000e+00	0.000000e+00	0
1.595000e+00	0.000000e+00	0
1.625000e+00	0.000000e+00	0
1.655000e+00	0.000000e+00	0
1.685000e+00	0.000000e+00	0
1.715000e+00	0.000000e+00	0
1.745000e+00	0.000000e+00	0
1.775000e+00	0.000000e+00	0
1.805000e+00	0.000000e+00	0
1.835000e+00	0.000000e+00	0
1.865000e+00	0.000000e+00	0
1.895000e+00	0.000000e+00	0
1.925000e+00	0.000000e+00	0
1.955000e+00	0.000000e+00	0
1.985000e+00	0.000000e+00	0
