Maximum data : 1.447977e+00
Minimum data : -5.811743e-01
Median : -1.750000e-01
Average : -2.219767e-03
Variance : 1.286118e-01
Normalized entropy : 8.144717e-01
Data	Probability	The number of points
-9.850000e-01	0.000000e+00	0
-9.550000e-01	0.000000e+00	0
-9.250000e-01	0.000000e+00	0
-8.950000e-01	0.000000e+00	0
-8.650000e-01	0.000000e+00	0
-8.350000e-01	0.000000e+00	0
-8.050000e-01	0.000000e+00	0
-7.750000e-01	0.000000e+00	0
-7.450000e-01	0.000000e+00	0
-7.150000e-01	0.000000e+00	0
-6.850000e-01	0.000000e+00	0
-6.550000e-01	0.000000e+00	0
-6.250000e-01	0.000000e+00	0
-5.950000e-01	5.000000e-06	1
-5.650000e-01	3.185000e-03	637
-5.350000e-01	1.109500e-02	2219
-5.050000e-01	1.499000e-02	2998
-4.750000e-01	1.692000e-02	3384
-4.450000e-01	2.131000e-02	4262
-4.150000e-01	2.568000e-02	5136
-3.850000e-01	2.859500e-02	5719
-3.550000e-01	3.132500e-02	6265
-3.250000e-01	3.336500e-02	6673
-2.950000e-01	3.527500e-02	7055
-2.650000e-01	3.806000e-02	7612
-2.350000e-01	4.275000e-02	8550
-2.050000e-01	4.460000e-02	8920
-1.750000e-01	4.950000e-02	9900
-1.450000e-01	4.793000e-02	9586
-1.150000e-01	4.640500e-02	9281
-8.500000e-02	4.572000e-02	9144
-5.500000e-02	3.852000e-02	7704
-2.500000e-02	3.304000e-02	6608
5.000000e-03	2.696000e-02	5392
3.500000e-02	2.527000e-02	5054
6.500000e-02	2.165000e-02	4330
9.500000e-02	1.929500e-02	3859
1.250000e-01	1.805500e-02	3611
1.550000e-01	1.776500e-02	3553
1.850000e-01	1.569000e-02	3138
2.150000e-01	1.516000e-02	3032
2.450000e-01	1.498000e-02	2996
2.750000e-01	1.400000e-02	2800
3.050000e-01	1.367500e-02	2735
3.350000e-01	1.239000e-02	2478
3.650000e-01	1.048000e-02	2096
3.950000e-01	1.086000e-02	2172
4.250000e-01	9.050000e-03	1810
4.550000e-01	9.555000e-03	1911
4.850000e-01	1.388000e-02	2776
5.150000e-01	1.551500e-02	3103
5.450000e-01	1.315500e-02	2631
5.750000e-01	1.060500e-02	2121
6.050000e-01	9.355000e-03	1871
6.350000e-01	8.880000e-03	1776
6.650000e-01	8.545000e-03	1709
6.950000e-01	7.445000e-03	1489
7.250000e-01	6.225000e-03	1245
7.550000e-01	5.800000e-03	1160
7.850000e-01	5.190000e-03	1038
8.150000e-01	4.060000e-03	812
8.450000e-01	3.515000e-03	703
8.750000e-01	4.120000e-03	824
9.050000e-01	4.435000e-03	887
9.350000e-01	3.000000e-03	600
9.650000e-01	2.235000e-03	447
9.950000e-01	1.960000e-03	392
1.025000e+00	1.580000e-03	316
1.055000e+00	1.230000e-03	246
1.085000e+00	1.065000e-03	213
1.115000e+00	9.450000e-04	189
1.145000e+00	8.350000e-04	167
1.175000e+00	7.300000e-04	146
1.205000e+00	6.350000e-04	127
1.235000e+00	5.000000e-04	100
1.265000e+00	4.350000e-04	87
1.295000e+00	3.500000e-04	70
1.325000e+00	2.400000e-04	48
1.355000e+00	1.950000e-04	39
1.385000e+00	1.250000e-04	25
1.415000e+00	8.000000e-05	16
1.445000e+00	3.000000e-05	6
1.475000e+00	0.000000e+00	0
1.505000e+00	0.000000e+00	0
1.535000e+00	0.000000e+00	0
1.565000e+00	0.000000e+00	0
1.595000e+00	0.000000e+00	0
1.625000e+00	0.000000e+00	0
1.655000e+00	0.000000e+00	0
1.685000e+00	0.000000e+00	0
1.715000e+00	0.000000e+00	0
1.745000e+00	0.000000e+00	0
1.775000e+00	0.000000e+00	0
1.805000e+00	0.000000e+00	0
1.835000e+00	0.000000e+00	0
1.865000e+00	0.000000e+00	0
1.895000e+00	0.000000e+00	0
1.925000e+00	0.000000e+00	0
1.955000e+00	0.000000e+00	0
1.985000e+00	0.000000e+00	0
