Maximum data : 1.405000e+00
Minimum data : -5.947156e-01
Median : -3.050000e-01
Average : -6.145424e-03
Variance : 1.747522e-01
Normalized entropy : 8.921330e-01
Data	Probability	The number of points
-6.950000e-01	0.000000e+00	0
-6.850000e-01	0.000000e+00	0
-6.750000e-01	0.000000e+00	0
-6.650000e-01	0.000000e+00	0
-6.550000e-01	0.000000e+00	0
-6.450000e-01	0.000000e+00	0
-6.350000e-01	0.000000e+00	0
-6.250000e-01	0.000000e+00	0
-6.150000e-01	0.000000e+00	0
-6.050000e-01	0.000000e+00	0
-5.950000e-01	5.500000e-05	11
-5.850000e-01	1.400000e-04	28
-5.750000e-01	2.100000e-04	42
-5.650000e-01	4.550000e-04	91
-5.550000e-01	8.250000e-04	165
-5.450000e-01	1.290000e-03	258
-5.350000e-01	2.170000e-03	434
-5.250000e-01	3.205000e-03	641
-5.150000e-01	4.245000e-03	849
-5.050000e-01	6.200000e-03	1240
-4.950000e-01	6.910000e-03	1382
-4.850000e-01	8.230000e-03	1646
-4.750000e-01	9.300000e-03	1860
-4.650000e-01	1.002000e-02	2004
-4.550000e-01	1.064000e-02	2128
-4.450000e-01	1.058000e-02	2116
-4.350000e-01	1.188000e-02	2376
-4.250000e-01	1.263500e-02	2527
-4.150000e-01	1.394500e-02	2789
-4.050000e-01	1.508000e-02	3016
-3.950000e-01	1.345500e-02	2691
-3.850000e-01	1.348500e-02	2697
-3.750000e-01	1.515500e-02	3031
-3.650000e-01	1.541500e-02	3083
-3.550000e-01	1.845500e-02	3691
-3.450000e-01	2.115500e-02	4231
-3.350000e-01	2.321500e-02	4643
-3.250000e-01	2.383500e-02	4767
-3.150000e-01	2.416000e-02	4832
-3.050000e-01	2.441500e-02	4883
-2.950000e-01	2.175500e-02	4351
-2.850000e-01	2.072500e-02	4145
-2.750000e-01	1.814000e-02	3628
-2.650000e-01	1.626000e-02	3252
-2.550000e-01	1.470000e-02	2940
-2.450000e-01	1.339000e-02	2678
-2.350000e-01	1.316500e-02	2633
-2.250000e-01	1.385500e-02	2771
-2.150000e-01	1.410500e-02	2821
-2.050000e-01	1.355500e-02	2711
-1.950000e-01	1.381000e-02	2762
-1.850000e-01	1.240500e-02	2481
-1.750000e-01	1.099000e-02	2198
-1.650000e-01	9.970000e-03	1994
-1.550000e-01	9.650000e-03	1930
-1.450000e-01	9.115000e-03	1823
-1.350000e-01	8.305000e-03	1661
-1.250000e-01	7.515000e-03	1503
-1.150000e-01	7.205000e-03	1441
-1.050000e-01	6.525000e-03	1305
-9.500000e-02	5.710000e-03	1142
-8.500000e-02	5.360000e-03	1072
-7.500000e-02	5.505000e-03	1101
-6.500000e-02	5.430000e-03	1086
-5.500000e-02	5.775000e-03	1155
-4.500000e-02	5.315000e-03	1063
-3.500000e-02	4.985000e-03	997
-2.500000e-02	4.750000e-03	950
-1.500000e-02	4.720000e-03	944
-5.000000e-03	4.310000e-03	862
5.000000e-03	4.285000e-03	857
1.500000e-02	3.905000e-03	781
2.500000e-02	4.135000e-03	827
3.500000e-02	4.100000e-03	820
4.500000e-02	3.675000e-03	735
5.500000e-02	3.760000e-03	752
6.500000e-02	3.480000e-03	696
7.500000e-02	3.550000e-03	710
8.500000e-02	3.370000e-03	674
9.500000e-02	3.700000e-03	740
1.050000e-01	3.205000e-03	641
1.150000e-01	2.950000e-03	590
1.250000e-01	2.785000e-03	557
1.350000e-01	2.915000e-03	583
1.450000e-01	2.775000e-03	555
1.550000e-01	2.835000e-03	567
1.650000e-01	2.850000e-03	570
1.750000e-01	2.570000e-03	514
1.850000e-01	2.720000e-03	544
1.950000e-01	2.685000e-03	537
2.050000e-01	2.935000e-03	587
2.150000e-01	2.645000e-03	529
2.250000e-01	2.075000e-03	415
2.350000e-01	2.165000e-03	433
2.450000e-01	2.150000e-03	430
2.550000e-01	2.010000e-03	402
2.650000e-01	2.200000e-03	440
2.750000e-01	2.235000e-03	447
2.850000e-01	2.815000e-03	563
2.950000e-01	2.690000e-03	538
3.050000e-01	3.440000e-03	688
3.150000e-01	3.970000e-03	794
3.250000e-01	4.735000e-03	947
3.350000e-01	5.165000e-03	1033
3.450000e-01	5.775000e-03	1155
3.550000e-01	6.185000e-03	1237
3.650000e-01	6.255000e-03	1251
3.750000e-01	6.540000e-03	1308
3.850000e-01	6.775000e-03	1355
3.950000e-01	6.325000e-03	1265
4.050000e-01	6.780000e-03	1356
4.150000e-01	7.430000e-03	1486
4.250000e-01	7.715000e-03	1543
4.350000e-01	7.155000e-03	1431
4.450000e-01	7.480000e-03	1496
4.550000e-01	7.195000e-03	1439
4.650000e-01	7.450000e-03	1490
4.750000e-01	7.430000e-03	1486
4.850000e-01	7.220000e-03	1444
4.950000e-01	6.885000e-03	1377
5.050000e-01	6.505000e-03	1301
5.150000e-01	6.270000e-03	1254
5.250000e-01	5.915000e-03	1183
5.350000e-01	5.715000e-03	1143
5.450000e-01	5.630000e-03	1126
5.550000e-01	5.050000e-03	1010
5.650000e-01	4.640000e-03	928
5.750000e-01	4.465000e-03	893
5.850000e-01	4.340000e-03	868
5.950000e-01	4.260000e-03	852
6.050000e-01	4.010000e-03	802
6.150000e-01	4.000000e-03	800
6.250000e-01	3.920000e-03	784
6.350000e-01	3.565000e-03	713
6.450000e-01	3.360000e-03	672
6.550000e-01	3.130000e-03	626
6.650000e-01	3.010000e-03	602
6.750000e-01	3.155000e-03	631
6.850000e-01	2.815000e-03	563
6.950000e-01	2.630000e-03	526
7.050000e-01	2.715000e-03	543
7.150000e-01	2.495000e-03	499
7.250000e-01	2.330000e-03	466
7.350000e-01	2.150000e-03	430
7.450000e-01	2.075000e-03	415
7.550000e-01	2.100000e-03	420
7.650000e-01	1.845000e-03	369
7.750000e-01	1.875000e-03	375
7.850000e-01	1.720000e-03	344
7.950000e-01	1.795000e-03	359
8.050000e-01	1.655000e-03	331
8.150000e-01	1.680000e-03	336
8.250000e-01	1.755000e-03	351
8.350000e-01	1.515000e-03	303
8.450000e-01	1.505000e-03	301
8.550000e-01	1.450000e-03	290
8.650000e-01	1.380000e-03	276
8.750000e-01	1.345000e-03	269
8.850000e-01	1.375000e-03	275
8.950000e-01	1.445000e-03	289
9.050000e-01	1.385000e-03	277
9.150000e-01	1.295000e-03	259
9.250000e-01	1.345000e-03	269
9.350000e-01	1.125000e-03	225
9.450000e-01	1.230000e-03	246
9.550000e-01	1.155000e-03	231
9.650000e-01	1.215000e-03	243
9.750000e-01	1.135000e-03	227
9.850000e-01	1.020000e-03	204
9.950000e-01	1.160000e-03	232
1.005000e+00	9.250000e-04	185
1.015000e+00	1.115000e-03	223
1.025000e+00	1.075000e-03	215
1.035000e+00	1.150000e-03	230
1.045000e+00	9.600000e-04	192
1.055000e+00	9.350000e-04	187
1.065000e+00	8.850000e-04	177
1.075000e+00	7.650000e-04	153
1.085000e+00	8.450000e-04	169
1.095000e+00	7.700000e-04	154
1.105000e+00	7.500000e-04	150
1.115000e+00	6.300000e-04	126
1.125000e+00	7.350000e-04	147
1.135000e+00	6.800000e-04	136
1.145000e+00	6.750000e-04	135
1.155000e+00	5.900000e-04	118
1.165000e+00	7.100000e-04	142
1.175000e+00	5.500000e-04	110
1.185000e+00	6.050000e-04	121
1.195000e+00	3.650000e-04	73
1.205000e+00	4.600000e-04	92
1.215000e+00	3.850000e-04	77
1.225000e+00	2.850000e-04	57
1.235000e+00	3.400000e-04	68
1.245000e+00	3.850000e-04	77
1.255000e+00	2.500000e-04	50
1.265000e+00	2.400000e-04	48
1.275000e+00	2.750000e-04	55
1.285000e+00	1.850000e-04	37
1.295000e+00	1.600000e-04	32
1.305000e+00	1.550000e-04	31
1.315000e+00	1.450000e-04	29
1.325000e+00	1.350000e-04	27
1.335000e+00	1.000000e-04	20
1.345000e+00	7.000000e-05	14
1.355000e+00	4.000000e-05	8
1.365000e+00	6.500000e-05	13
1.375000e+00	3.000000e-05	6
1.385000e+00	7.000000e-05	14
1.395000e+00	1.000000e-05	2
1.405000e+00	1.000000e-05	2
1.415000e+00	0.000000e+00	0
1.425000e+00	0.000000e+00	0
1.435000e+00	0.000000e+00	0
1.445000e+00	0.000000e+00	0
1.455000e+00	0.000000e+00	0
1.465000e+00	0.000000e+00	0
1.475000e+00	0.000000e+00	0
1.485000e+00	0.000000e+00	0
1.495000e+00	0.000000e+00	0
