Maximum data : 2.252415e+00
Minimum data : 2.035969e-01
Median : 8.500000e-01
Average : 9.857639e-01
Variance : 1.461864e-01
Normalized entropy : 6.558217e-01
Data	Probability	The number of points
5.000000e-02	0.000000e+00	0
1.500000e-01	0.000000e+00	0
2.500000e-01	7.500000e-04	3
3.500000e-01	2.625000e-02	105
4.500000e-01	3.900000e-02	156
5.500000e-01	5.150000e-02	206
6.500000e-01	6.525000e-02	261
7.500000e-01	1.040000e-01	416
8.500000e-01	2.377500e-01	951
9.500000e-01	1.405000e-01	562
1.050000e+00	5.925000e-02	237
1.150000e+00	5.325000e-02	213
1.250000e+00	4.225000e-02	169
1.350000e+00	3.175000e-02	127
1.450000e+00	2.950000e-02	118
1.550000e+00	2.250000e-02	90
1.650000e+00	2.425000e-02	97
1.750000e+00	2.075000e-02	83
1.850000e+00	1.800000e-02	72
1.950000e+00	1.125000e-02	45
2.050000e+00	1.275000e-02	51
2.150000e+00	7.250000e-03	29
2.250000e+00	2.250000e-03	9
2.350000e+00	0.000000e+00	0
2.450000e+00	0.000000e+00	0
2.550000e+00	0.000000e+00	0
2.650000e+00	0.000000e+00	0
2.750000e+00	0.000000e+00	0
2.850000e+00	0.000000e+00	0
2.950000e+00	0.000000e+00	0
3.050000e+00	0.000000e+00	0
3.150000e+00	0.000000e+00	0
3.250000e+00	0.000000e+00	0
3.350000e+00	0.000000e+00	0
3.450000e+00	0.000000e+00	0
3.550000e+00	0.000000e+00	0
3.650000e+00	0.000000e+00	0
3.750000e+00	0.000000e+00	0
3.850000e+00	0.000000e+00	0
3.950000e+00	0.000000e+00	0
4.050000e+00	0.000000e+00	0
4.150000e+00	0.000000e+00	0
4.250000e+00	0.000000e+00	0
4.350000e+00	0.000000e+00	0
4.450000e+00	0.000000e+00	0
4.550000e+00	0.000000e+00	0
4.650000e+00	0.000000e+00	0
4.750000e+00	0.000000e+00	0
4.850000e+00	0.000000e+00	0
4.950000e+00	0.000000e+00	0
