Index	Input Santa Fe	Target	Training result	Node vc difference
0	8.600000e+01	1.410000e+02	1.925347e+02	1.787174e+00
1	1.410000e+02	9.500000e+01	9.141109e+01	2.919363e+00
2	9.500000e+01	4.100000e+01	2.581715e+01	3.306928e+00
3	4.100000e+01	2.200000e+01	7.631633e+00	3.372863e+00
4	2.200000e+01	2.100000e+01	1.753622e+01	3.471666e+00
5	2.100000e+01	3.200000e+01	3.041278e+01	3.380302e+00
6	3.200000e+01	7.200000e+01	6.490089e+01	3.073533e+00
7	7.200000e+01	1.380000e+02	1.252388e+02	2.294864e+00
8	1.380000e+02	1.110000e+02	1.129203e+02	2.763974e+00
9	1.110000e+02	4.800000e+01	3.972088e+01	3.282929e+00
10	4.800000e+01	2.300000e+01	2.494325e+01	3.417806e+00
11	2.300000e+01	1.900000e+01	1.691860e+01	3.401434e+00
12	1.900000e+01	2.700000e+01	2.163221e+01	3.431687e+00
13	2.700000e+01	5.900000e+01	5.332984e+01	3.216986e+00
14	5.900000e+01	1.290000e+02	1.242969e+02	2.394399e+00
15	1.290000e+02	1.290000e+02	1.212766e+02	2.568755e+00
16	1.290000e+02	5.800000e+01	5.626929e+01	3.276431e+00
17	5.800000e+01	2.700000e+01	2.544600e+01	3.428521e+00
18	2.700000e+01	1.900000e+01	1.821407e+01	3.369951e+00
19	1.900000e+01	2.400000e+01	2.034788e+01	3.482473e+00
20	2.400000e+01	4.600000e+01	4.710126e+01	3.306285e+00
21	4.600000e+01	1.120000e+02	1.088530e+02	2.622594e+00
22	1.120000e+02	1.440000e+02	1.363684e+02	2.333844e+00
23	1.440000e+02	7.300000e+01	7.517933e+01	3.227157e+00
24	7.300000e+01	3.000000e+01	3.072163e+01	3.415590e+00
25	3.000000e+01	2.000000e+01	1.743365e+01	3.404897e+00
26	2.000000e+01	1.900000e+01	1.946747e+01	3.460181e+00
27	1.900000e+01	3.700000e+01	3.420087e+01	3.437735e+00
28	3.700000e+01	9.200000e+01	9.479907e+01	2.826352e+00
29	9.200000e+01	1.520000e+02	1.473387e+02	2.163647e+00
30	1.520000e+02	9.300000e+01	8.969757e+01	3.126627e+00
31	9.300000e+01	3.600000e+01	3.426588e+01	3.382957e+00
32	3.600000e+01	2.000000e+01	2.172280e+01	3.435484e+00
33	2.000000e+01	1.800000e+01	2.307170e+01	3.444859e+00
34	1.800000e+01	2.900000e+01	2.535286e+01	3.483631e+00
35	2.900000e+01	7.100000e+01	7.531042e+01	3.084261e+00
36	7.100000e+01	1.460000e+02	1.418585e+02	2.213398e+00
37	1.460000e+02	1.170000e+02	1.127271e+02	2.900045e+00
38	1.170000e+02	4.600000e+01	4.553808e+01	3.341534e+00
39	4.600000e+01	2.300000e+01	1.970228e+01	3.469616e+00
40	2.300000e+01	1.800000e+01	2.082969e+01	3.414650e+00
41	1.800000e+01	2.200000e+01	2.195793e+01	3.513093e+00
42	2.200000e+01	5.200000e+01	4.823252e+01	3.338739e+00
43	5.200000e+01	1.280000e+02	1.248830e+02	2.500244e+00
44	1.280000e+02	1.420000e+02	1.389899e+02	2.534319e+00
45	1.420000e+02	6.200000e+01	6.033732e+01	3.328597e+00
46	6.200000e+01	2.600000e+01	2.621484e+01	3.453177e+00
47	2.600000e+01	1.700000e+01	2.003646e+01	3.403443e+00
48	1.700000e+01	1.900000e+01	1.697117e+01	3.534672e+00
49	1.900000e+01	3.700000e+01	3.384283e+01	3.448262e+00
50	3.700000e+01	1.000000e+02	9.356100e+01	2.829967e+00
51	1.000000e+02	1.580000e+02	1.562983e+02	2.217487e+00
52	1.580000e+02	8.600000e+01	8.468005e+01	3.245378e+00
53	8.600000e+01	3.200000e+01	3.030443e+01	3.424892e+00
54	3.200000e+01	1.700000e+01	1.783098e+01	3.444486e+00
55	1.700000e+01	1.700000e+01	1.917419e+01	3.520629e+00
56	1.700000e+01	2.700000e+01	3.069754e+01	3.511606e+00
