Maximum data : 5.529819e-01
Minimum data : -5.746333e-01
Median : -2.400000e-02
Average : -6.265005e-04
Variance : 6.852270e-02
Normalized entropy : 6.857656e-01
Data	Probability	The number of points
-7.920000e-01	0.000000e+00	0
-7.760000e-01	0.000000e+00	0
-7.600000e-01	0.000000e+00	0
-7.440000e-01	0.000000e+00	0
-7.280000e-01	0.000000e+00	0
-7.120000e-01	0.000000e+00	0
-6.960000e-01	0.000000e+00	0
-6.800000e-01	0.000000e+00	0
-6.640000e-01	0.000000e+00	0
-6.480000e-01	0.000000e+00	0
-6.320000e-01	0.000000e+00	0
-6.160000e-01	0.000000e+00	0
-6.000000e-01	0.000000e+00	0
-5.840000e-01	0.000000e+00	0
-5.680000e-01	6.800000e-03	34
-5.520000e-01	3.140000e-02	157
-5.360000e-01	3.840000e-02	192
-5.200000e-01	8.000000e-03	40
-5.040000e-01	0.000000e+00	0
-4.880000e-01	0.000000e+00	0
-4.720000e-01	0.000000e+00	0
-4.560000e-01	0.000000e+00	0
-4.400000e-01	0.000000e+00	0
-4.240000e-01	0.000000e+00	0
-4.080000e-01	0.000000e+00	0
-3.920000e-01	0.000000e+00	0
-3.760000e-01	0.000000e+00	0
-3.600000e-01	0.000000e+00	0
-3.440000e-01	0.000000e+00	0
-3.280000e-01	3.000000e-03	15
-3.120000e-01	7.600000e-03	38
-2.960000e-01	6.000000e-03	30
-2.800000e-01	2.840000e-02	142
-2.640000e-01	5.200000e-02	260
-2.480000e-01	1.560000e-02	78
-2.320000e-01	2.000000e-04	1
-2.160000e-01	0.000000e+00	0
-2.000000e-01	0.000000e+00	0
-1.840000e-01	0.000000e+00	0
-1.680000e-01	0.000000e+00	0
-1.520000e-01	0.000000e+00	0
-1.360000e-01	0.000000e+00	0
-1.200000e-01	0.000000e+00	0
-1.040000e-01	2.800000e-03	14
-8.800000e-02	3.280000e-02	164
-7.200000e-02	3.180000e-02	159
-5.600000e-02	5.240000e-02	262
-4.000000e-02	3.460000e-02	173
-2.400000e-02	1.624000e-01	812
-8.000000e-03	1.250000e-01	625
8.000000e-03	4.080000e-02	204
2.400000e-02	4.720000e-02	236
4.000000e-02	2.000000e-04	1
5.600000e-02	0.000000e+00	0
7.200000e-02	6.000000e-04	3
8.800000e-02	2.600000e-03	13
1.040000e-01	3.000000e-03	15
1.200000e-01	5.200000e-03	26
1.360000e-01	4.400000e-03	22
1.520000e-01	1.800000e-03	9
1.680000e-01	5.000000e-03	25
1.840000e-01	3.440000e-02	172
2.000000e-01	4.300000e-02	215
2.160000e-01	1.100000e-02	55
2.320000e-01	2.400000e-03	12
2.480000e-01	1.020000e-02	51
2.640000e-01	7.400000e-03	37
2.800000e-01	6.000000e-04	3
2.960000e-01	0.000000e+00	0
3.120000e-01	1.000000e-03	5
3.280000e-01	4.000000e-03	20
3.440000e-01	4.400000e-03	22
3.600000e-01	1.000000e-03	5
3.760000e-01	2.800000e-03	14
3.920000e-01	4.600000e-03	23
4.080000e-01	1.800000e-03	9
4.240000e-01	1.600000e-03	8
4.400000e-01	1.960000e-02	98
4.560000e-01	4.800000e-02	240
4.720000e-01	2.440000e-02	122
4.880000e-01	1.180000e-02	59
5.040000e-01	6.200000e-03	31
5.200000e-01	2.400000e-03	12
5.360000e-01	5.400000e-03	27
5.520000e-01	2.000000e-03	10
5.680000e-01	0.000000e+00	0
5.840000e-01	0.000000e+00	0
6.000000e-01	0.000000e+00	0
6.160000e-01	0.000000e+00	0
6.320000e-01	0.000000e+00	0
6.480000e-01	0.000000e+00	0
6.640000e-01	0.000000e+00	0
6.800000e-01	0.000000e+00	0
6.960000e-01	0.000000e+00	0
7.120000e-01	0.000000e+00	0
7.280000e-01	0.000000e+00	0
7.440000e-01	0.000000e+00	0
7.600000e-01	0.000000e+00	0
7.760000e-01	0.000000e+00	0
7.920000e-01	0.000000e+00	0
