Index	Input data	x(t - \ft\n\dD\n)	Target	Training result
0	1.000000e+00	1.000000e+00	0.000000e+00	1.698365e-02
1	0.000000e+00	1.000000e+00	1.000000e+00	1.006689e+00
2	0.000000e+00	0.000000e+00	0.000000e+00	2.202977e-03
3	0.000000e+00	0.000000e+00	0.000000e+00	1.144175e-03
4	0.000000e+00	0.000000e+00	0.000000e+00	-1.710941e-02
5	1.000000e+00	0.000000e+00	1.000000e+00	1.003306e+00
6	0.000000e+00	1.000000e+00	1.000000e+00	1.009211e+00
7	0.000000e+00	0.000000e+00	0.000000e+00	2.842910e-02
8	0.000000e+00	0.000000e+00	0.000000e+00	-1.186730e-02
9	1.000000e+00	0.000000e+00	1.000000e+00	9.802105e-01
10	1.000000e+00	1.000000e+00	0.000000e+00	-1.204740e-02
11	0.000000e+00	1.000000e+00	1.000000e+00	1.019225e+00
12	1.000000e+00	0.000000e+00	1.000000e+00	1.022883e+00
13	0.000000e+00	1.000000e+00	1.000000e+00	1.017571e+00
14	1.000000e+00	0.000000e+00	1.000000e+00	9.608896e-01
15	1.000000e+00	1.000000e+00	0.000000e+00	-1.261614e-02
16	0.000000e+00	1.000000e+00	1.000000e+00	9.979872e-01
17	1.000000e+00	0.000000e+00	1.000000e+00	9.731414e-01
18	0.000000e+00	1.000000e+00	1.000000e+00	1.019671e+00
19	1.000000e+00	0.000000e+00	1.000000e+00	1.004416e+00
20	1.000000e+00	1.000000e+00	0.000000e+00	-1.078764e-02
21	1.000000e+00	1.000000e+00	0.000000e+00	-1.120887e-02
22	1.000000e+00	1.000000e+00	0.000000e+00	2.506975e-03
23	1.000000e+00	1.000000e+00	0.000000e+00	-4.258770e-03
24	1.000000e+00	1.000000e+00	0.000000e+00	-5.071227e-03
25	0.000000e+00	1.000000e+00	1.000000e+00	9.902893e-01
26	0.000000e+00	0.000000e+00	0.000000e+00	3.478435e-02
27	1.000000e+00	0.000000e+00	1.000000e+00	1.013260e+00
28	0.000000e+00	1.000000e+00	1.000000e+00	9.603341e-01
29	0.000000e+00	0.000000e+00	0.000000e+00	3.012170e-03
30	1.000000e+00	0.000000e+00	1.000000e+00	9.975638e-01
31	1.000000e+00	1.000000e+00	0.000000e+00	1.226604e-02
32	1.000000e+00	1.000000e+00	0.000000e+00	1.190058e-02
33	0.000000e+00	1.000000e+00	1.000000e+00	9.884796e-01
34	0.000000e+00	0.000000e+00	0.000000e+00	-1.169164e-02
35	1.000000e+00	0.000000e+00	1.000000e+00	1.025725e+00
36	0.000000e+00	1.000000e+00	1.000000e+00	9.992693e-01
37	0.000000e+00	0.000000e+00	0.000000e+00	3.339703e-02
38	1.000000e+00	0.000000e+00	1.000000e+00	1.020549e+00
39	1.000000e+00	1.000000e+00	0.000000e+00	6.626467e-03
40	0.000000e+00	1.000000e+00	1.000000e+00	1.004288e+00
41	1.000000e+00	0.000000e+00	1.000000e+00	1.006017e+00
42	0.000000e+00	1.000000e+00	1.000000e+00	9.998591e-01
43	0.000000e+00	0.000000e+00	0.000000e+00	-4.688136e-03
44	1.000000e+00	0.000000e+00	1.000000e+00	9.834569e-01
45	1.000000e+00	1.000000e+00	0.000000e+00	1.429023e-02
46	0.000000e+00	1.000000e+00	1.000000e+00	9.796169e-01
47	0.000000e+00	0.000000e+00	0.000000e+00	-8.723647e-03
48	1.000000e+00	0.000000e+00	1.000000e+00	9.917937e-01
49	0.000000e+00	1.000000e+00	1.000000e+00	1.017728e+00
50	1.000000e+00	0.000000e+00	1.000000e+00	1.009665e+00
51	0.000000e+00	1.000000e+00	1.000000e+00	9.860407e-01
52	1.000000e+00	0.000000e+00	1.000000e+00	9.947314e-01
53	1.000000e+00	1.000000e+00	0.000000e+00	4.421680e-04
54	0.000000e+00	1.000000e+00	1.000000e+00	9.945575e-01
55	1.000000e+00	0.000000e+00	1.000000e+00	1.007894e+00
56	1.000000e+00	1.000000e+00	0.000000e+00	9.418942e-03
57	0.000000e+00	1.000000e+00	1.000000e+00	9.730751e-01
58	0.000000e+00	0.000000e+00	0.000000e+00	-1.000846e-02
59	1.000000e+00	0.000000e+00	1.000000e+00	9.914871e-01
60	1.000000e+00	1.000000e+00	0.000000e+00	-1.034074e-02
61	0.000000e+00	1.000000e+00	1.000000e+00	1.027421e+00
62	0.000000e+00	0.000000e+00	0.000000e+00	5.922963e-04
63	1.000000e+00	0.000000e+00	1.000000e+00	1.000475e+00
64	0.000000e+00	1.000000e+00	1.000000e+00	1.012173e+00
65	0.000000e+00	0.000000e+00	0.000000e+00	-3.628722e-02
66	1.000000e+00	0.000000e+00	1.000000e+00	9.751984e-01
67	0.000000e+00	1.000000e+00	1.000000e+00	1.007008e+00
68	0.000000e+00	0.000000e+00	0.000000e+00	5.793183e-03
69	0.000000e+00	0.000000e+00	0.000000e+00	1.348499e-02
70	0.000000e+00	0.000000e+00	0.000000e+00	-1.969901e-02
71	1.000000e+00	0.000000e+00	1.000000e+00	1.017053e+00
72	0.000000e+00	1.000000e+00	1.000000e+00	9.748924e-01
73	1.000000e+00	0.000000e+00	1.000000e+00	1.012104e+00
74	0.000000e+00	1.000000e+00	1.000000e+00	1.002902e+00
