Maximum data : 1.663582e+00
Minimum data : -8.424094e-01
Median : -3.280000e-01
Average : -8.513870e-03
Variance : 1.642814e-01
Normalized entropy : 8.638924e-01
Data	Probability	The number of points
-7.920000e-01	5.000000e-06	1
-7.760000e-01	1.500000e-05	3
-7.600000e-01	5.000000e-06	1
-7.440000e-01	4.000000e-05	8
-7.280000e-01	3.000000e-05	6
-7.120000e-01	1.000000e-05	2
-6.960000e-01	4.000000e-05	8
-6.800000e-01	9.000000e-05	18
-6.640000e-01	1.600000e-04	32
-6.480000e-01	1.900000e-04	38
-6.320000e-01	2.200000e-04	44
-6.160000e-01	3.500000e-04	70
-6.000000e-01	4.700000e-04	94
-5.840000e-01	5.750000e-04	115
-5.680000e-01	7.650000e-04	153
-5.520000e-01	1.070000e-03	214
-5.360000e-01	1.300000e-03	260
-5.200000e-01	1.735000e-03	347
-5.040000e-01	2.525000e-03	505
-4.880000e-01	3.070000e-03	614
-4.720000e-01	3.695000e-03	739
-4.560000e-01	4.705000e-03	941
-4.400000e-01	6.610000e-03	1322
-4.240000e-01	1.021500e-02	2043
-4.080000e-01	1.474500e-02	2949
-3.920000e-01	2.093000e-02	4186
-3.760000e-01	3.486500e-02	6973
-3.600000e-01	4.665000e-02	9330
-3.440000e-01	4.982500e-02	9965
-3.280000e-01	5.098500e-02	10197
-3.120000e-01	4.662500e-02	9325
-2.960000e-01	4.183000e-02	8366
-2.800000e-01	3.826500e-02	7653
-2.640000e-01	3.385000e-02	6770
-2.480000e-01	3.038000e-02	6076
-2.320000e-01	2.690000e-02	5380
-2.160000e-01	2.218000e-02	4436
-2.000000e-01	1.892500e-02	3785
-1.840000e-01	1.586000e-02	3172
-1.680000e-01	1.384500e-02	2769
-1.520000e-01	1.231000e-02	2462
-1.360000e-01	1.109500e-02	2219
-1.200000e-01	1.033000e-02	2066
-1.040000e-01	9.590000e-03	1918
-8.800000e-02	8.845000e-03	1769
-7.200000e-02	7.945000e-03	1589
-5.600000e-02	7.575000e-03	1515
-4.000000e-02	7.465000e-03	1493
-2.400000e-02	7.105000e-03	1421
-8.000000e-03	6.790000e-03	1358
8.000000e-03	6.310000e-03	1262
2.400000e-02	6.095000e-03	1219
4.000000e-02	6.345000e-03	1269
5.600000e-02	6.170000e-03	1234
7.200000e-02	6.185000e-03	1237
8.800000e-02	6.215000e-03	1243
1.040000e-01	5.890000e-03	1178
1.200000e-01	5.460000e-03	1092
1.360000e-01	5.900000e-03	1180
1.520000e-01	5.725000e-03	1145
1.680000e-01	5.525000e-03	1105
1.840000e-01	5.850000e-03	1170
2.000000e-01	6.020000e-03	1204
2.160000e-01	5.945000e-03	1189
2.320000e-01	5.790000e-03	1158
2.480000e-01	5.985000e-03	1197
2.640000e-01	5.940000e-03	1188
2.800000e-01	6.250000e-03	1250
2.960000e-01	6.015000e-03	1203
3.120000e-01	6.785000e-03	1357
3.280000e-01	7.080000e-03	1416
3.440000e-01	6.940000e-03	1388
3.600000e-01	7.200000e-03	1440
3.760000e-01	6.930000e-03	1386
3.920000e-01	7.370000e-03	1474
4.080000e-01	7.490000e-03	1498
4.240000e-01	7.380000e-03	1476
4.400000e-01	8.045000e-03	1609
4.560000e-01	8.095000e-03	1619
4.720000e-01	8.250000e-03	1650
4.880000e-01	8.405000e-03	1681
5.040000e-01	8.055000e-03	1611
5.200000e-01	8.310000e-03	1662
5.360000e-01	8.815000e-03	1763
5.520000e-01	8.610000e-03	1722
5.680000e-01	8.370000e-03	1674
5.840000e-01	8.420000e-03	1684
6.000000e-01	8.425000e-03	1685
6.160000e-01	7.685000e-03	1537
6.320000e-01	7.550000e-03	1510
6.480000e-01	7.000000e-03	1400
6.640000e-01	6.495000e-03	1299
6.800000e-01	5.890000e-03	1178
6.960000e-01	5.680000e-03	1136
7.120000e-01	5.785000e-03	1157
7.280000e-01	4.865000e-03	973
7.440000e-01	4.150000e-03	830
7.600000e-01	3.770000e-03	754
7.760000e-01	3.580000e-03	716
7.920000e-01	3.265000e-03	653
